,Crisis,TYPE OF CRISIS,CRISIS ID,COUNTRY,ISO3,Landmass affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related Injuries,Total # of illness cases reported,Total # of crisis related fatalities,Building partially damaged,Building totally damaged,Total Building in the affected area,Econimic losses,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of groups affected by crisis,people in need facing limited access constraints,people in need facing restricted access constraints,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)"
0,0,,,,,sq. Km,Number,Number,Number,Number,,Number,Number,Number,Number,million USD,Number,Number,Number,Number,Number,Number,Number,Number,,,,,,,,,
1,Complex crisis in Afghanistan,Complex crisis,AFG001,Afghanistan,AFG,652867,35700000,35700000,4969000,x,x,10997,x,x,,13114,0,21700000,10447000,3553000,0,5,x,x,0,3,2,3,0,3,3,3,2
2,Mixed migration flows in Algeria,International displacement,DZA002,Algeria,DZA,2381000,43100000,x,x,x,x,22,0,0,,X,x,x,x,x,x,2,X,X,0,0,0,0,0,0,0,1,0
3,Sahrawi refugees in Algeria,International displacement,DZA003,Algeria,DZA,159000,223000,174000,174000,x,x,0,x,x,,x,49000,84000,90000,0,0,1,0,0,0,0,0,0,0,0,0,1,1
4,Multiple crises in Algeria,Multiple crises country,DZA004,Algeria,DZA,2381000,43100000,x,x,X,X,22,x,x,,X,x,x,x,x,x,2,X,X,1,1,1,0,0,2,0,0,1
5,Western Mediterranean Route,Regional crisis,REG008,"Algeria, Morocco, Spain","DZA, MAR, ESP",x,x,x,x,x,x,51,x,x,,x,x,x,x,x,x,2,x,x,0,0.33,0.33,0,0,0,0,0.33,0.33
6,Central Mediterranean Route,Regional crisis,REG007,"Algeria, Tunisia, Libya, Italy","DZA, TUN, LBY, ITA",x,x,x,x,x,x,283,x,x,,x,x,x,x,x,x,2,x,x,0.333333333333333,1,1,0.333333333333333,0.666666666666667,0.666666666666667,1,1.66666666666667,1
7,Mutliple crises in Bangladesh,Multiple crises country,BGD001,Bangladesh,BGD,39433,98683000,19483000,1175000,x,x,69,x,x,,x,79106000,17828000,1448000,207000,0,3,x,x,2,1,2,0,2,3,3,1,3
8,Rohingya refugee crisis,International displacement,BGD002,Bangladesh,BGD,650,1332000,1332000,860000,37140,141302,2,x,x,,x,0,472000,653000,207000,0,3,0,0,2,1,1,0,1,2,3,0,2
9,Floods in Bangladesh,Flood,BGD003,Bangladesh,BGD,34002,70168000,5400000,94000,x,x,41,x,x,,x,64768000,5306000,94000,0,0,5,x,x,x,x,x,x,x,x,x,x,x
10,Cyclone Amphan Bangladesh,Tropical cyclone,BGD006,Bangladesh,BGD,38783,27182000,12751000,220000,x,x,26,x,x,,x,14432000,12051000,700000,0,0,3,x,x,0,0,0,0,0,0,0,1,2
