,INFORM Severity Index - all countries. Release: September 2020,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
0,CRISIS,CRISIS ID,COUNTRY,ISO3,TYPE OF CRISIS,INFORM Severity Index,INFORM Severity category,INFORM Severity category,Trend (last 3 months),Reliability,Impact of the crisis,Geographical,Human,Conditions of people affected,People in need,Concentration of conditions,Complexity of the crisis,Society and safety,Operating environment,Regions,Last updated
1,Weights,,,,,,,,,,,,,,,,,,,,
2,(a-z),,,(a-z),,(1-5),(1-5),(Very Low-Very High),(Decreasing-Stable-Increasing),(Very Low-Very High),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),,
3,Complex crisis in Afghanistan,AFG001,Afghanistan,AFG,Complex crisis,4.6,5,Very High,Stable,High,5,4.9,5,4.5,5,4,4.3,4,4.5,Asia,2020-10-15 00:00:00
4,Multiple crises in Algeria,DZA004,Algeria,DZA,Multiple crises country,x,x,x,-,Low,3.4,5,1.9,x,x,x,2.4,2.7,2,Africa,2020-09-29 00:00:00
5,Mutliple crises in Bangladesh,BGD001,Bangladesh,BGD,Multiple crises country,2.9,3,Medium,Stable,High,2.9,3.3,2.6,2.85,3.7,2,3.1,2.7,3.5,Asia,2020-10-02 00:00:00
6,Venezuela displacement in Brazil,BRA002,Brazil,BRA,International displacement,2.3,3,Medium,Stable,High,2.4,1.1,2.9,2.7,2.4,3,1.6,2.2,1,Americas,2020-10-06 00:00:00
7,Conflict in Burkina Faso,BFA002,Burkina Faso,BFA,Conflict,3.9,4,High,Increasing,Very High,3.8,2.9,4.2,4.45,3.9,5,3.2,2.8,3.5,Africa,2020-10-15 00:00:00
8,Complex in Burundi,BDI001,Burundi,BDI,Complex crisis,3.3,4,High,Stable,High,3.4,4,3.1,3.05,3.1,3,3.6,3.1,4,Africa,2020-10-06 00:00:00
9,Multiple crises in Cameroon,CMR001,Cameroon,CMR,Multiple crises country,3.7,4,High,Increasing,High,3.8,3.2,4.1,3.35,3.7,3,4.1,3.5,4.5,Africa,2020-10-05 00:00:00
10,Complex crisis in CAR,CAF001,CAR,CAF,Complex crisis,4,4,High,Stable,Medium,4.2,4.3,4.1,4,4,4,3.9,3.7,4,Africa,2020-09-29 00:00:00
11,Complex crisis in Chad,TCD001,Chad,TCD,Multiple crises country,4.1,5,Very High,Stable,High,4,4.8,3.5,4.35,4.7,4,3.8,3.5,4,Africa,2020-10-02 00:00:00
12,Floods in China,CHN002,China,CHN,Flood,3,3,Medium,Increasing,High,3.2,3.8,2.8,3.25,4.5,2,2.4,3.2,1.5,Asia,2020-10-02 00:00:00
13,Complex crisis in Colombia,COL001,Colombia,COL,Complex crisis,4.2,5,Very High,Stable,Medium,4.5,5,4.2,4.45,4.9,4,3.5,2.9,4,Americas,2020-10-15 00:00:00
14,Pool conflict,COG002,Congo,COG,Conflict,2.3,3,Medium,Increasing,High,1.8,0.8,2.2,2.4,1.8,3,2.6,2.6,2.5,Africa,2020-10-15 00:00:00
15,Nicaraguan refugees in Costa Rica,CRI002,Costa Rica,CRI,International displacement,1.1,2,Low,Stable,High,1.3,1,1.5,1,1,1,1,0.9,1,Americas,2020-10-06 00:00:00
16,Multiple crises in Djibouti,DJI001,Djibouti,DJI,Multiple crises country,2.9,3,Medium,Stable,High,2.3,3.1,1.9,3.25,2.5,4,2.9,2.7,3,Africa,2020-10-16 00:00:00
17,Complex crisis in DPRK,PRK001,DPRK,PRK,Complex crisis,4.1,5,Very High,Stable,Low,4.8,4.6,4.9,4.5,5,4,2.9,3.2,2.5,Asia,2020-03-30 00:00:00
18,Complex crisis in DRC,COD001,DRC,COD,Complex crisis,4.5,5,Very High,Increasing,High,4.5,5,4.2,4.5,5,4,4.4,4.3,4.5,Africa,2020-10-15 00:00:00
19,Venezuela displacement in Ecuador,ECU002,Ecuador,ECU,International displacement,2.4,3,Medium,Stable,High,1.9,1.3,2.2,2.95,2.9,3,1.8,2.1,1.5,Americas,2020-10-06 00:00:00
20,Syrian Refugee Crisis in Egypt,EGY002,Egypt,EGY,International displacement,2.2,3,Medium,Increasing,High,2.5,2.4,2.5,1.9,1.8,2,2.4,2.7,2,Africa,2020-08-21 00:00:00
21,Complex crisis in El Salvador,SLV001,El Salvador,SLV,Complex crisis,3,3,Medium,Increasing,High,3.5,3.8,3.4,3,3,3,2.5,2.4,2.5,Americas,2020-10-07 00:00:00
22,Complex crisis in Eritrea,ERI001,Eritrea,ERI,Complex crisis,3.8,4,High,Stable,Low,3.8,3.8,3.8,3.5,4,3,4.2,2.8,5,Africa,2020-10-07 00:00:00
23,Food Security Crisis in Eswatini,SWZ002,Eswatini,SWZ,Food Security,2.3,3,Medium,Decreasing,High,2.2,3.1,1.7,2.75,2.5,3,1.7,2.6,0.5,Africa,2020-10-06 00:00:00
24,Complex crisis in Ethiopia,ETH001,Ethiopia,ETH,Complex crisis,4,4,High,Stable,High,3.9,4.3,3.6,4.45,4.9,4,3.4,3.3,3.5,Africa,2020-10-07 00:00:00
25,Mixed migration flows in Greece,GRC002,Greece,GRC,International displacement,1.8,2,Low,Decreasing,Very High,2,0.3,2.6,1.8,0.6,3,1.6,1.7,1.5,Europe,2020-10-05 00:00:00
26,Complex crisis in Guatemala,GTM001,Guatemala,GTM,Complex crisis,3.4,4,High,Stable,Very High,3.7,4.3,3.4,3.6,4.2,3,2.9,3.3,2.5,Americas,2020-10-07 00:00:00
27,Complex crisis in Haiti,HTI001,Haiti,HTI,Complex crisis,3.5,4,High,Stable,High,3.2,4,2.7,4.15,4.3,4,2.5,2.9,2,Americas,2020-10-06 00:00:00
28,Complex crisis in Honduras,HND001,Honduras,HND,Complex crisis,3.2,4,High,Stable,Very High,3.7,4.2,3.4,3.25,3.5,3,2.8,3.1,2.5,Americas,2020-10-07 00:00:00
29,Multiple Crises in India,IND001,India,IND,Multiple crises country,2.5,3,Medium,Increasing,High,3.7,4.1,3.4,2.35,3.7,1,1.7,2.9,0,Asia,2020-10-06 00:00:00
30,Papua Conflict,IDN002,Indonesia,IDN,Conflict,x,x,x,-,Low,2.7,1.9,3.1,x,x,x,2.9,2.7,3,Asia,2020-10-02 00:00:00
31,Afghan Refugees in Iran,IRN004,Iran,IRN,International displacement,3.4,4,High,Stable,Medium,2.8,2.7,2.8,4.05,4.1,4,2.7,2.8,2.5,Middle east,2020-03-30 00:00:00
32,Multiple crises in Iraq,IRQ001,Iraq,IRQ,Multiple crises country,3.9,4,High,Stable,Very High,4.4,4.9,4,3.7,4.4,3,3.8,3.5,4,Middle east,2020-10-14 00:00:00
33,Syrian refugees in Jordan,JOR002,Jordan,JOR,International displacement,2.6,3,Medium,Stable,Very High,2.7,3,2.5,3,3,3,1.8,2.5,1,Middle east,2020-09-28 00:00:00
34,Multiple crisis in Kenya ,KEN001,Kenya,KEN,Multiple crises country,2.9,3,Medium,Decreasing,High,3.6,4.9,2.6,2.8,3.6,2,2.5,3,2,Africa,2020-10-07 00:00:00
35,Socioeconomic crisis in Lebanon,LBN004,Lebanon,LBN,Political and economic crisis,3.5,4,High,Increasing,High,2.7,3.6,2.1,4.15,4.3,4,2.9,2.8,3,Middle east,2020-09-30 00:00:00
36,Drought in Lesotho,LSO002,Lesotho,LSO,Drought,2.1,3,Medium,Decreasing,High,2.1,3,1.6,2.8,2.6,3,1,1.4,0.5,Africa,2020-10-09 00:00:00
37,Complex crisis in Libya,LBY001,Libya,LBY,Multiple crises country,4.1,5,Very High,Stable,High,4.1,4.5,3.8,4.2,3.4,5,4.1,3.6,4.5,Africa,2020-09-28 00:00:00
38,Complex Country Crisis in Madagascar,MDG005,Madagascar,MDG,Complex crisis,2.6,3,Medium,Increasing,High,2.4,1.9,2.6,3.05,3.1,3,2,2.4,1.5,Africa,2020-10-05 00:00:00
39,Complex crisis in Malawi,MWI002,Malawi,MWI,Complex crisis,2.6,3,Medium,Decreasing,High,2.9,4.3,1.9,3.35,3.7,3,1.2,1.9,0.5,Africa,2020-10-06 00:00:00
40,Complex crisis in Mali,MLI001,Mali,MLI,Complex crisis,3.8,4,High,Stable,High,4,4.8,3.5,3.7,4.4,3,3.9,3.2,4.5,Africa,2020-10-05 00:00:00
