,INFORM Severity Index - all crises. Release: February 2021,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
0,CRISIS,CRISIS ID,COUNTRY,ISO3,TYPE OF CRISIS,INFORM Severity Index,INFORM Severity category,INFORM Severity category,Trend (last 3 months),Reliability,Impact of the crisis,Geographical,Human,Conditions of people affected,People in need,Concentration of conditions,Complexity of the crisis,Society and safety,Operating environment,Regions,Last updated
1,Weights,,,,,,,,,,,,,,,,,,,,
2,(a-z),,,(a-z),,(1-5),(1-5),(Very Low-Very High),(Decreasing-Stable-Increasing),(Very Low-Very High),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),,
3,Complex crisis in Afghanistan,AFG001,Afghanistan,AFG,Complex crisis,4.6,5,Very High,Stable,Very High,5,4.9,5,4.5,5,4,4.3,4,4.5,Asia,2021-02-23 00:00:00
4,Nagorno-Karabakh Conflict in Armenia,ARM002,Armenia,ARM,Conflict,1.7,2,Low,-,Very High,2.4,3.5,1.7,1.3,1.6,1,1.7,1.8,1.5,Middle east,2021-01-27 00:00:00
5,Nagorno-Karabakh conflict in Azerbaijan,AZE002,Azerbaijan,AZE,Conflict,x,x,x,-,Medium,2.9,2.5,3.1,x,x,x,3,2.9,3,Middle east,2021-01-27 00:00:00
6,Complex in Burundi,BDI001,Burundi,BDI,Complex crisis,3.3,4,High,Stable,High,3.4,4,3,3.25,3.5,3,3.3,3.1,3.5,Africa,2021-01-29 00:00:00
7,Conflict in Burkina Faso,BFA002,Burkina Faso,BFA,Conflict,3.9,4,High,Stable,High,3.8,2.9,4.1,4.45,3.9,5,3.1,2.7,3.5,Africa,2021-02-19 00:00:00
8,Rohingya refugee crisis,BGD002,Bangladesh,BGD,International displacement,3.2,4,High,Stable,Very High,2.7,0.1,3.6,3.6,3.2,4,3,2.5,3.5,Asia,2021-02-23 00:00:00
9,Venezuela displacement in Brazil,BRA002,Brazil,BRA,International displacement,2.4,3,Medium,Increasing,High,2.3,1.2,2.8,2.9,2.8,3,1.6,2.2,1,Americas,2021-01-29 00:00:00
10,Complex crisis in CAR,CAF001,CAR,CAF,Complex crisis,4,4,High,Stable,High,4.2,4.3,4.2,4.05,4.1,4,3.9,3.8,4,Africa,2021-02-24 00:00:00
11,Boko Haram in Cameroon,CMR002,Cameroon,CMR,Conflict,3.2,4,High,Stable,Very High,3.1,1.5,3.7,3,3,3,3.5,3.5,3.5,Africa,2021-02-25 00:00:00
12,Anglophone Crisis in Cameroon,CMR003,Cameroon,CMR,Conflict,3.4,4,High,Increasing,High,3.2,1.7,3.8,3.15,3.3,3,3.8,3.5,4,Africa,2021-02-25 00:00:00
13,CAR refugees in Cameroon,CMR004,Cameroon,CMR,International displacement,2.8,3,Medium,Increasing,High,2.8,1.7,3.2,2.75,2.5,3,3,3.5,2.5,Africa,2021-01-29 00:00:00
14,Complex crisis in DRC,COD001,DRC,COD,Complex crisis,4.5,5,Very High,Increasing,High,4.5,5,4.1,4.5,5,4,4.4,4.3,4.5,Africa,2021-02-19 00:00:00
15,Complex crisis in Congo,COG001,Congo,COG,Complex crisis,3.2,4,High,-,Medium,3.6,4.2,3.3,3.25,3.5,3,2.7,2.8,2.5,Africa,2021-01-07 00:00:00
16,Floods in Congo,COG004,Congo,COG,Flood,2.2,3,Medium,Stable,Low,1.5,1.1,1.75,2.3,1.6,3,2.4,2.8,2,Africa,2020-11-25 00:00:00
17,Complex crisis in Colombia,COL001,Colombia,COL,Complex crisis,3.9,4,High,Decreasing,High,4.2,5,3.6,3.95,4.9,3,3.5,2.9,4,Americas,2021-01-28 00:00:00
18,Venezuela displacement in Colombia,COL002,Colombia,COL,International displacement,3.4,4,High,Stable,Medium,3.6,2.7,4,3.65,4.3,3,3,2.9,3,Americas,2021-01-28 00:00:00
19,Hurricane Eta and Iota in Colombia,COL003,Colombia,COL,Tropical cyclone,2.1,3,Medium,Decreasing,High,2.5,3.3,2.1,1.2,1.4,1,3,2.9,3,Americas,2021-01-28 00:00:00
20,Nicaraguan refugees in Costa Rica,CRI002,Costa Rica,CRI,International displacement,1.1,2,Low,Stable,High,1.3,1,1.5,1.05,1.1,1,1,0.9,1,Americas,2021-01-28 00:00:00
21,Mixed migration in Djibouti,DJI002,Djibouti,DJI,International displacement,1.7,2,Low,Increasing,Medium,2.6,3.1,2.3,0.9,0.8,1,2.2,2.8,1.5,Africa,2021-02-11 00:00:00
22,Drought in Djibouti,DJI003,Djibouti,DJI,Drought,2.7,3,Medium,Stable,Medium,2.7,3.1,2.5,2.55,2.1,3,2.9,2.8,3,Africa,2021-02-11 00:00:00
23,Mixed migration flows in Algeria,DZA002,Algeria,DZA,International displacement,x,x,x,-,Very Low,4.4,5,4,x,x,x,2.5,3,2,Africa,2020-11-27 00:00:00
24,Sahrawi refugees in Algeria,DZA003,Algeria,DZA,International displacement,2.3,3,Medium,Increasing,Medium,2.2,1.1,2.6,2.3,1.6,3,2.3,3,1.5,Africa,2020-11-27 00:00:00
25,Venezuela displacement in Ecuador,ECU002,Ecuador,ECU,International displacement,2.3,3,Medium,Decreasing,High,1.9,1.4,2.2,2.85,2.7,3,1.8,2.1,1.5,Americas,2021-01-29 00:00:00
26,Syrian Refugee Crisis in Egypt,EGY002,Egypt,EGY,International displacement,3.1,4,High,Increasing,High,2.5,2.4,2.5,3.6,4.2,3,2.7,3.3,2,Africa,2021-01-29 00:00:00
27,Complex crisis in Eritrea,ERI001,Eritrea,ERI,Complex crisis,3.7,4,High,Decreasing,High,3.4,3.8,3.1,3.5,4,3,4.1,2.6,5,Africa,2021-01-29 00:00:00
28,Mixed migration flows in spain,ESP002,Spain,ESP,International displacement,1.5,2,Low,-,High,2.4,2.2,2.5,1,1,1,1.5,2,1,Europe,2021-01-28 00:00:00
29,Complex crisis in Ethiopia,ETH001,Ethiopia,ETH,Complex crisis,4.1,5,Very High,Increasing,High,4,4.3,3.9,4.45,4.9,4,3.7,3.4,4,Africa,2020-11-30 00:00:00
30,Flood Crisis in Ethiopia,ETH002,Ethiopia,ETH,Flood,2.4,3,Medium,Stable,High,3,4.1,2.3,1.85,2.7,1,2.8,3.4,2,Africa,2020-11-30 00:00:00
31,International Displacement,ETH003,Ethiopia,ETH,International displacement,2.8,3,Medium,Stable,Medium,3.7,4.4,3.3,2.05,3.1,1,3.2,3.4,3,Africa,2020-11-30 00:00:00
32,Crisis in Tigray,ETH004,Ethiopia,ETH,Conflict,3.6,4,High,Decreasing,High,3.1,1.4,3.7,3.75,4.5,3,3.7,3.4,4,Africa,2021-02-22 00:00:00
33,Tropical cyclone Yasa in Fiji,FJI002,Fiji,FJI,Tropical cyclone,1.4,2,Low,-,High,1.7,3.1,0.8,1.1,0.2,2,1.7,1.9,1.5,Pacific,2021-01-29 00:00:00
34,Mixed migration flows in Greece,GRC002,Greece,GRC,International displacement,1.6,2,Low,Decreasing,High,2.1,0.3,2.8,1.2,0.4,2,1.7,1.8,1.5,Europe,2021-02-27 00:00:00
35,Complex crisis in Guatemala,GTM001,Guatemala,GTM,Complex crisis,3.4,4,High,Stable,High,3.7,4.3,3.4,3.6,4.2,3,2.9,3.3,2.5,Americas,2021-01-28 00:00:00
36,Hurricane Eta and Iota in Guatemala,GTM003,Guatemala,GTM,Tropical cyclone,3.1,4,High,Increasing,Very High,2.9,3.6,2.4,3.4,3.8,3,2.7,3.3,2,Americas,2021-01-28 00:00:00
37,Complex crisis in Honduras,HND001,Honduras,HND,Complex crisis,3.2,4,High,Stable,High,3.7,4.2,3.4,3.25,3.5,3,2.8,3.1,2.5,Americas,2021-01-28 00:00:00
38,Hurricane Eta and Iota in Honduras,HND002,Honduras,HND,Tropical cyclone,3.3,4,High,Increasing,High,3.2,3.9,2.7,3.55,4.1,3,3.1,3.1,3,Americas,2021-01-28 00:00:00
39,Complex crisis in Haiti,HTI001,Haiti,HTI,Complex crisis,3.5,4,High,Stable,High,3.2,3.9,2.7,4.15,4.3,4,2.5,2.9,2,Americas,2021-01-28 00:00:00
40,Papua Conflict,IDN002,Indonesia,IDN,Conflict,x,x,x,-,Low,2.7,1.9,3.1,x,x,x,2.9,2.8,3,Asia,2021-02-23 00:00:00
