,Crisis ID,GlideNumber,SeverityGlideNumber,Country,Crisis,ISO3 code,Region,Type of crisis,First country,Website name,Crisis description,Related crisis,Starting date,Duration (days)
0,AFG001,,,Afghanistan,Complex crisis in Afghanistan,AFG,Asia,Complex crisis,Afghanistan,Complex crisis,https://www.acaps.org/country/Afghanistan/crisis/Complex-crisis,,Before 2019,More than 2 years
1,ARM002,,,Armenia,Nagorno-Karabakh Conflict in Armenia,ARM,Middle east,Conflict,Armenia,Nagorno-Karabakh Conflict in Armenia,https://www.acaps.org/country/Armenia/crisis/Nagorno-Karabakh-Conflict-in-Armenia,,04/11/2020,300
2,AZE002,,,Azerbaijan,Nagorno-Karabakh conflict in Azerbaijan,AZE,Middle east,Conflict,Azerbaijan,Nagorno-Karabakh conflict in Azerbaijan,https://www.acaps.org/country/Azerbaijan/crisis/Nagorno-Karabakh-conflict-in-Azerbaijan,,04/11/2020,300
3,BDI001,,,Burundi,Complex in Burundi,BDI,Africa,Complex crisis,Burundi,Complex crisis ,https://www.acaps.org/country/Burundi/crisis/Complex-crisis,,Before 2019,More than 2 years
4,BFA002,,,Burkina Faso,Conflict in Burkina Faso,BFA,Africa,Conflict,Burkina Faso,Conflict,https://www.acaps.org/country/Burkina Faso/crisis/Conflict,,Before 2019,More than 2 years
5,BGD002,,,Bangladesh,Rohingya refugee crisis,BGD,Asia,International displacement,Bangladesh,Rohingya Refugees,https://www.acaps.org/country/Bangladesh/crisis/Rohingya-Refugees,,Before 2019,More than 2 years
6,BRA002,,,Brazil,Venezuela displacement in Brazil,BRA,Americas,International displacement,Brazil,Venezuelan refugees,https://www.acaps.org/country/Brazil/crisis/Venezuelan-refugees,,Before 2019,More than 2 years
7,CAF001,,,CAR,Complex crisis in CAR,CAF,Africa,Complex crisis,CAR,Complex crisis,https://www.acaps.org/country/CAR/crisis/Complex-crisis,,Before 2019,More than 2 years
8,CHN003,,,China,Floods in Henan province,CHN,Asia,Flood,China,Floods in Henan province,https://www.acaps.org/country/China/crisis/Floods-in-Henan-province,,04/08/2021,27
9,CMR001,,,Cameroon,Multiple crises in Cameroon,CMR,Africa,Multiple crises country,Cameroon,Country level,https://www.acaps.org/country/Cameroon/crisis/Country-level,,Before 2019,More than 2 years
10,CMR002,,,Cameroon,Boko Haram in Cameroon,CMR,Africa,Conflict,Cameroon,Boko Haram,https://www.acaps.org/country/Cameroon/crisis/Boko-Haram,,Before 2019,More than 2 years
11,CMR003,,,Cameroon,Anglophone Crisis in Cameroon,CMR,Africa,Conflict,Cameroon,Anglophone crisis,https://www.acaps.org/country/Cameroon/crisis/Anglophone-crisis,,Before 2019,More than 2 years
12,CMR004,,,Cameroon,CAR refugees in Cameroon,CMR,Africa,International displacement,Cameroon,CAR refugees,https://www.acaps.org/country/Cameroon/crisis/CAR-refugees,,Before 2019,More than 2 years
13,COD001,,,DRC,Complex crisis in DRC,COD,Africa,Complex crisis,DRC,Complex crisis,https://www.acaps.org/country/DRC/crisis/Complex-crisis,,Before 2019,More than 2 years
14,COG001,,,Congo,Complex crisis in Congo,COG,Africa,Complex crisis,Congo,Complex crisis,https://www.acaps.org/country/Congo/crisis/Complex-crisis,,01/12/2019,639
15,COL001,,,Colombia,Complex crisis in Colombia,COL,Americas,Complex crisis,Colombia,Complex crisis,https://www.acaps.org/country/Colombia/crisis/Complex-crisis,,Before 2019,More than 2 years
16,COL002,,,Colombia,Venezuela displacement in Colombia,COL,Americas,International displacement,Colombia,Venezuelan refugees ,https://www.acaps.org/country/Colombia/crisis/Venezuelan-refugees,,Before 2019,More than 2 years
17,CRI002,,,Costa Rica,Nicaraguan refugees in Costa Rica,CRI,Americas,International displacement,Costa Rica,Nicaraguan refugees,https://www.acaps.org/country/Costa Rica/crisis/Nicaraguan-refugees,,01/04/2019,883
18,DJI001,,,Djibouti,Multiple crises in Djibouti,DJI,Africa,Multiple crises country,Djibouti,Country level,https://www.acaps.org/country/Djibouti/crisis/Country-level,,Before 2019,More than 2 years
19,DJI002,,,Djibouti,Mixed migration in Djibouti,DJI,Africa,International displacement,Djibouti,Mixed Migration,https://www.acaps.org/country/Djibouti/crisis/Mixed-Migration,,Before 2019,More than 2 years
20,DJI003,,,Djibouti,Drought in Djibouti,DJI,Africa,Drought,Djibouti,Drought,https://www.acaps.org/country/Djibouti/crisis/Drought,,Before 2019,More than 2 years
21,DZA002,,,Algeria,Mixed migration flows in Algeria,DZA,Africa,International displacement,Algeria,Mixed Migration,https://www.acaps.org/country/Algeria/crisis/Mixed-Migration,,Before 2019,More than 2 years
22,DZA003,,,Algeria,Sahrawi refugees in Algeria,DZA,Africa,International displacement,Algeria,Sahrawi refugees,https://www.acaps.org/country/Algeria/crisis/Sahrawi-refugees,,Before 2019,More than 2 years
23,DZA004,,,Algeria,Multiple crises in Algeria,DZA,Africa,Multiple crises country,Algeria,Country level,https://www.acaps.org/country/Algeria/crisis/Country-level,,23/06/2020,434
24,ECU002,,,Ecuador,Venezuela displacement in Ecuador,ECU,Americas,International displacement,Ecuador,Venezuelan refugees ,https://www.acaps.org/country/Ecuador/crisis/Venezuelan-refugees,,Before 2019,More than 2 years
25,EGY002,,,Egypt,Syrian Refugee Crisis in Egypt,EGY,Africa,International displacement,Egypt,Refugee crisis,https://www.acaps.org/country/Egypt/crisis/Refugee-crisis,,Before 2019,More than 2 years
26,ERI001,,,Eritrea,Complex crisis in Eritrea,ERI,Africa,Complex crisis,Eritrea,Complex crisis,https://www.acaps.org/country/Eritrea/crisis/Complex-crisis,,Before 2019,More than 2 years
27,ESP002,,,Spain,Mixed migration flows in spain,ESP,Europe,International displacement,Spain,Mixed Migration,https://www.acaps.org/country/Spain/crisis/Mixed-Migration,,Before 2019,More than 2 years
28,ETH001,,,Ethiopia,Complex crisis in Ethiopia,ETH,Africa,Complex crisis,Ethiopia,Complex crisis,https://www.acaps.org/country/Ethiopia/crisis/Complex-crisis,,Before 2019,More than 2 years
29,ETH002,,,Ethiopia,Flood Crisis in Ethiopia,ETH,Africa,Flood,Ethiopia,Floods,https://www.acaps.org/country/Ethiopia/crisis/Floods,,01/06/2020,456
30,ETH003,,,Ethiopia,International Displacement,ETH,Africa,International displacement,Ethiopia,International Displacement,https://www.acaps.org/country/Ethiopia/crisis/International-Displacement,,01/06/2020,456
31,ETH004,,,Ethiopia,Crisis in Tigray,ETH,Africa,Conflict,Ethiopia,Crisis in Tigray,https://www.acaps.org/country/Ethiopia/crisis/Crisis-in-Tigray,,04/12/2020,270
32,GRC002,,,Greece,Mixed migration flows in Greece,GRC,Europe,International displacement,Greece,Mixed Migration,https://www.acaps.org/country/Greece/crisis/Mixed-Migration,,Before 2019,More than 2 years
33,GTM001,,,Guatemala,Complex crisis in Guatemala,GTM,Americas,Complex crisis,Guatemala,Complex crisis,https://www.acaps.org/country/Guatemala/crisis/Complex-crisis,,Before 2019,More than 2 years
34,GTM003,,,Guatemala,Hurricane Eta and Iota in Guatemala,GTM,Americas,Tropical cyclone,Guatemala,Hurricane Eta and Iota,https://www.acaps.org/country/Guatemala/crisis/Hurricane-Eta-and-Iota,,04/12/2020,270
35,HND001,,,Honduras,Complex crisis in Honduras,HND,Americas,Complex crisis,Honduras,Complex crisis,https://www.acaps.org/country/Honduras/crisis/Complex-crisis,,Before 2019,More than 2 years
