,INFORM Severity Index - all crises. Release: March 2022,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
0,CRISIS,CRISIS ID,COUNTRY,ISO3,TYPE OF CRISIS,INFORM Severity Index,INFORM Severity category,INFORM Severity category,Trend (last 3 months),Reliability,Impact of the crisis,Geographical,Human,Conditions of people affected,People in need,Concentration of conditions,Complexity of the crisis,Society and safety,Operating environment,Regions,Last updated
1,Weights,,,,,,,,,,,,,,,,,,,,
2,(a-z),,,(a-z),,(1-5),(1-5),(Very Low-Very High),(Decreasing-Stable-Increasing),(Very Low-Very High),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),,
3,Complex crisis in Afghanistan,AFG001,Afghanistan,AFG,Complex crisis,4.6,5,Very High,Decreasing,High,4.8,4.9,4.8,4.5,5,4,4.6,4,5,Asia,2022-02-27 00:00:00
4,Drought in South-West Angola,AGO002,Angola,AGO,Food Security,3.1,4,High,Stable,Very High,2,1.7,2.2,3.8,3.6,4,2.6,3.1,2,Africa,2021-12-20 00:00:00
5,Nagorno-Karabakh Conflict in Armenia,ARM002,Armenia,ARM,Conflict,1.5,2,Low,Stable,Medium,2.3,3.5,1.5,1.2,1.4,1,1.4,1.7,1,Middle east,2021-10-27 00:00:00
6,Nagorno-Karabakh conflict in Azerbaijan,AZE002,Azerbaijan,AZE,Conflict,x,x,x,-,Very Low,3.1,2.5,3.4,x,x,x,2.7,2.8,2.5,Middle east,2021-10-27 00:00:00
7,Complex in Burundi,BDI001,Burundi,BDI,Complex crisis,3.5,4,High,Decreasing,Very High,3.9,4,3.8,3.4,3.8,3,3.3,3.1,3.5,Africa,2022-03-28 00:00:00
8,Conflict in Burkina Faso,BFA002,Burkina Faso,BFA,Conflict,3.9,4,High,Stable,High,4,2.5,4.5,4.3,3.6,5,3.3,3.1,3.5,Africa,2022-02-28 00:00:00
9,Rohingya refugee crisis,BGD002,Bangladesh,BGD,International displacement,3.2,4,High,Stable,High,3.4,0.1,4.3,3.3,3.6,3,2.9,2.8,3,Asia,2022-03-15 00:00:00
10,Venezuela displacement in Brazil,BRA002,Brazil,BRA,International displacement,2.4,3,Medium,Increasing,High,2.2,1.1,2.6,2.75,2.5,3,2.1,2.6,1.5,Americas,2022-02-23 00:00:00
11,Floods in rainy season 2022,BRA003,Brazil,BRA,Flood,2,2,Low,-,High,2.8,3,2.7,1.35,1.7,1,2.3,2.6,2,Americas,2022-02-22 00:00:00
12,Complex crisis in CAR,CAF001,CAR,CAF,Complex crisis,4.2,5,Very High,Stable,Medium,4.5,4.3,4.6,4.05,4.1,4,4.3,4,4.5,Africa,2022-02-28 00:00:00
13,Venezuela displacement in Chile,CHL002,Chile,CHL,International displacement,2.1,3,Medium,-,Very High,2.4,2.4,2.4,2.4,2.8,2,1.5,1.5,1.5,Americas,2022-02-21 00:00:00
14,Boko Haram in Cameroon,CMR002,Cameroon,CMR,Conflict,3.6,4,High,Stable,High,2.9,1.3,3.5,3.75,3.5,4,3.9,3.7,4,Africa,2021-11-22 00:00:00
15,Anglophone Crisis in Cameroon,CMR003,Cameroon,CMR,Conflict,3.8,4,High,Increasing,High,3.1,2.3,3.5,3.85,3.7,4,4.1,3.7,4.5,Africa,2022-03-21 00:00:00
16,CAR refugees in Cameroon,CMR004,Cameroon,CMR,International displacement,3.1,4,High,Increasing,High,3,2.4,3.2,3,3,3,3.2,3.7,2.5,Africa,2022-03-21 00:00:00
17,Complex crisis in DRC,COD001,DRC,COD,Complex crisis,4.5,5,Very High,Stable,Very High,4.7,4.3,4.9,4.5,5,4,4.4,4.3,4.5,Africa,2022-02-28 00:00:00
18,Complex crisis in Congo,COG001,Congo,COG,Complex crisis,3.3,4,High,Stable,Low,3.6,4.2,3.3,3.25,3.5,3,3.2,2.8,3.5,Africa,2021-10-28 00:00:00
19,Complex crisis in Colombia,COL001,Colombia,COL,Complex crisis,3.3,4,High,Decreasing,Very High,3.6,5,2.5,2.9,4.8,1,3.8,2.9,4.5,Americas,2022-03-31 00:00:00
20,Venezuela displacement in Colombia,COL002,Colombia,COL,International displacement,3.5,4,High,Stable,Very High,3.3,2.7,3.5,3.75,4.5,3,3.2,2.9,3.5,Americas,2022-03-31 00:00:00
21,Nicaraguan refugees in Costa Rica,CRI002,Costa Rica,CRI,International displacement,1.1,2,Low,Stable,Medium,1.3,1,1.5,1.05,1.1,1,1,0.9,1,Americas,2021-10-26 00:00:00
22,Mixed migration in Djibouti,DJI002,Djibouti,DJI,International displacement,1.7,2,Low,Stable,Very High,2,3.1,1.3,0.95,0.9,1,2.5,2.4,2.5,Africa,2022-03-27 00:00:00
23,Drought in Djibouti,DJI003,Djibouti,DJI,Drought,2.6,3,Medium,Stable,Medium,2,3.1,1.4,2.55,2.1,3,3,2.4,3.5,Africa,2022-03-27 00:00:00
24,Venezuela displacement in Dominican Republic,DOM002,Dominican Republic,DOM,International displacement,1.8,2,Low,-,Medium,3.2,4.1,2.7,1.35,1.7,1,1.2,1.4,1,Americas,2022-02-21 00:00:00
25,Mixed migration flows in Algeria,DZA002,Algeria,DZA,International displacement,x,x,x,-,Very Low,4.5,5,4.2,x,x,x,2.4,3.1,1.5,Africa,2021-10-21 00:00:00
26,Sahrawi refugees in Algeria,DZA003,Algeria,DZA,International displacement,2.3,3,Medium,Stable,Medium,2.2,1.1,2.6,2.3,1.6,3,2.4,3.1,1.5,Africa,2021-10-21 00:00:00
27,Venezuela displacement in Ecuador,ECU002,Ecuador,ECU,International displacement,2.5,3,Medium,Increasing,Medium,2,1.7,2.2,3.1,3.2,3,1.8,2.1,1.5,Americas,2022-02-17 00:00:00
28,Syrian Refugee Crisis in Egypt,EGY002,Egypt,EGY,International displacement,2.3,3,Medium,Stable,Medium,2.3,2.4,2.3,2.4,2.8,2,2.2,2.8,1.5,Africa,2021-10-21 00:00:00
29,Complex crisis in Eritrea,ERI001,Eritrea,ERI,Complex crisis,3.7,4,High,Stable,Medium,3.4,3.8,3.1,3.5,4,3,4.3,3.3,5,Africa,2021-10-29 00:00:00
30,Mixed migration flows in spain,ESP002,Spain,ESP,International displacement,1.7,2,Low,Stable,Medium,2.5,2.2,2.6,1.4,1.8,1,1.6,1.6,1.5,Europe,2021-10-25 00:00:00
31,Complex crisis in Ethiopia,ETH001,Ethiopia,ETH,Complex crisis,4.7,5,Very High,Stable,High,4.7,5,4.5,5,5,5,4.2,3.8,4.5,Africa,2022-03-28 00:00:00
32,International Displacement,ETH003,Ethiopia,ETH,International displacement,3.1,4,High,Stable,Very High,3.6,5,2.4,2.6,3.2,2,3.4,3.8,3,Africa,2022-03-28 00:00:00
33,Northern Ethiopia Conflict,ETH004,Ethiopia,ETH,Conflict,4.4,5,Very High,Stable,High,4.3,3,4.7,4.5,5,4,4.2,3.8,4.5,Africa,2022-03-28 00:00:00
34,Drought in Ethiopia,ETH005,Ethiopia,ETH,Drought,2.6,3,Medium,-,High,2.7,4,1.7,2.05,2.1,2,3.4,3.8,3,Africa,2022-03-28 00:00:00
35,Mixed migration flows in Greece,GRC002,Greece,GRC,International displacement,1.6,2,Low,Decreasing,High,1.9,0.3,2.5,1.2,0.4,2,1.9,1.7,2,Europe,2021-12-29 00:00:00
36,Complex crisis in Guatemala,GTM001,Guatemala,GTM,Complex crisis,3.5,4,High,Stable,High,3.8,4.4,3.5,3.65,4.3,3,2.9,3.3,2.5,Americas,2021-11-16 00:00:00
37,Complex crisis in Honduras,HND001,Honduras,HND,Complex crisis,3.7,4,High,Increasing,High,3.8,4.2,3.5,4.1,4.2,4,3.1,3.1,3,Americas,2021-11-17 00:00:00
38,Complex crisis in Haiti,HTI001,Haiti,HTI,Complex crisis,4.1,5,Very High,Stable,Medium,3.8,4,3.7,4.75,4.5,5,3.1,3.1,3,Americas,2021-10-26 00:00:00
39,Nippes Earthquake ,HTI002,Haiti,HTI,Earthquake,3.1,4,High,Stable,Medium,3.1,2.4,3.4,3,3,3,3.1,3.1,3,Americas,2021-10-26 00:00:00
40,Displacement from Ukraine conflict in Hungary,HUN002,Hungary,HUN,International displacement,1.4,2,Low,-,Very High,2.2,0.1,3,1,0,2,1.2,1.4,1,Europe,2022-03-31 00:00:00
