,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
0,Crisis ID,Reliability Index,Data Reliability,Recentness data,Information gaps,Data Reliability,Recentness data (# days),Information gaps (# indicator missing),Reliability
1,AFG001,1.4,2.8,1.5,0,2.1,107.3,0,High
2,AGO002,0.9,0.5,2.3,0,1.2,165.6,0,Very High
3,ARM002,2.3,2,5,0,1.8,398.2,0,Medium
4,AZE002,4.2,x,5,3.3,x,463.9,2,Very Low
5,BDI001,0.8,2,0.3,0,1.8,22.3,0,Very High
6,BFA002,1.8,0.5,4.9,0,1.2,361.1,0,High
7,BGD002,1.3,1.8,2.2,0,1.7,160.9,0,High
8,BRA001,1.6,3.3,1.4,0,2.3,102.6,0,High
9,BRA002,2.2,3,3.7,0,2.2,273.3,0,Medium
10,BRA003,1.6,3.5,1.4,0,2.4,102.6,0,High
11,CAF001,2.8,3.5,5,0,2.4,385.7,0,Medium
12,CHL002,1.3,2.5,1.4,0,2,101.7,0,High
13,CMR001,1.8,0.5,5,0,1.2,398.8,0,High
14,CMR002,1.6,0.3,4.4,0,1.1,317.8,0,High
15,CMR003,1.5,1,3.4,0,1.4,251.8,0,High
16,CMR004,1.8,0.5,3.3,1.7,1.2,240.2,1,High
17,COD001,1.3,0.5,3.3,0,1.2,238.1,0,High
18,COG001,3.9,3.3,5,3.3,2.3,479.6,2,Low
19,COL001,0.5,0.5,1.1,0,1.2,77.8,0,Very High
20,COL002,1.3,2.8,1.1,0,2.1,77.8,0,High
21,CRI002,2.8,3.3,5,0,2.3,570.7,0,Medium
22,DJI001,1,2.3,0.7,0,1.9,52.5,0,Very High
23,DJI002,1,2.3,0.8,0,1.9,59.2,0,Very High
24,DJI003,1.7,2.3,1.1,1.7,1.9,78,1,High
25,DOM002,2.4,2.5,1.3,3.3,2,99,2,Medium
26,DZA002,2.8,x,0.5,5,x,36.6,3,Medium
27,DZA003,1.4,3.8,0.5,0,2.5,36.6,0,High
28,DZA004,2.8,x,0.5,5,x,36.6,3,Medium
29,ECU002,2.6,3.5,4.4,0,2.4,322.3,0,Medium
30,EGY002,1,2.5,0.5,0,2,35.7,0,Very High
31,ERI001,1.7,3,0.4,1.7,2.2,33.1,1,High
32,ESP002,2.4,2.3,5,0,1.9,410.8,0,Medium
33,ETH001,1.8,2,3.5,0,1.8,255.5,0,High
34,ETH003,1.1,2,1.2,0,1.8,91,0,High
35,ETH004,1.6,3.3,1.5,0,2.3,107.3,0,High
36,ETH005,1.2,3.3,0.3,0,2.3,25.7,0,High
37,GRC002,2,3.5,2.4,0,2.4,176.2,0,High
38,GTM001,1.6,2,2.7,0,1.8,198.5,0,High
39,HND001,1.6,2,2.7,0,1.8,197.4,0,High
40,HTI001,0.9,2,0.6,0,1.8,45.1,0,Very High
41,HTI002,1.4,3,1.3,0,2.2,96.7,0,High
42,HUN002,1,2.3,0.8,0,1.9,57.8,0,Very High
43,IDN002,1.7,3,2.1,0,2.2,151.2,0,High
44,IND002,4.3,2.8,5,5,2.1,455.8,3,Very Low
45,IRN004,2.5,4.3,1.5,1.7,2.7,110.5,1,Medium
46,IRQ001,1.9,3.8,1.9,0,2.5,137.7,0,High
47,IRQ002,1.2,1.5,2,0,1.6,146,0,High
48,IRQ003,2.6,3.5,2.6,1.7,2.4,187.2,1,Medium
49,ITA002,2.4,2.3,5,0,1.9,410.7,0,Medium
50,JOR002,2.1,3.8,2.5,0,2.5,184.5,0,Medium
51,KEN001,1.5,2.8,1.7,0,2.1,124.4,0,High
52,KEN002,2.1,2.8,1.7,1.7,2.1,124.4,1,Medium
53,KEN003,2.7,2.8,1.9,3.3,2.1,142.6,2,Medium
54,LBN002,2.3,3.5,1.8,1.7,2.4,133.2,1,Medium
55,LBN004,2.4,3.5,1.9,1.7,2.4,136.9,1,Medium
56,LBY001,0.8,2,0.4,0,1.8,27.9,0,Very High
57,LBY002,0.9,2.3,0.4,0,1.9,27.9,0,Very High
58,LSO002,1.5,2,2.5,0,1.8,180.5,0,High
59,MAR002,5,x,5,5,x,624,3,Very Low
60,MDA002,1,2.3,0.8,0,1.9,56.3,0,Very High
61,MDG001,0.7,1,1.1,0,1.4,78.2,0,Very High
62,MDG002,0.9,1,1.7,0,1.4,125.7,0,Very High
63,MDG006,0.9,1.5,1.1,0,1.6,82,0,Very High
64,MEX001,2.4,4,3.3,0,2.6,242.8,0,Medium
65,MEX002,3.4,4,4.6,1.7,2.6,334.1,1,Low
66,MEX003,2,3.8,2.2,0,2.5,157.6,0,High
67,MLI001,2.3,2,5,0,1.8,429.3,0,Medium
68,MMR001,1.2,2.3,1.2,0,1.9,85.3,0,High
69,MMR002,1.4,2.3,2,0,1.9,148.9,0,High
70,MMR003,1.4,2.3,2,0,1.9,148.3,0,High
71,MMR004,1,2,1,0,1.8,71.2,0,Very High
72,MOZ001,1.1,2.5,0.7,0,2,49.9,0,High
73,MOZ004,1.4,3,1.3,0,2.2,97.3,0,High
74,MOZ008,1.2,2.8,0.7,0,2.1,49.9,0,High
75,MRT002,2.4,2.3,5,0,1.9,376.4,0,Medium
76,MRT003,3.5,2.3,5,3.3,1.9,373.6,2,Low
77,MWI002,1,2,0.9,0,1.8,66.5,0,Very High
78,MWI004,1.2,2,1.6,0,1.8,120,0,High
79,MYS001,1.3,2.8,1.1,0,2.1,79,0,High
80,NAM002,2.3,2,3.2,1.7,1.8,231.4,1,Medium
81,NER001,2.3,1.8,5,0,1.7,452.3,0,Medium
82,NER002,2.7,3,5,0,2.2,452.3,0,Medium
83,NER003,2.8,3.3,5,0,2.3,452.4,0,Medium
84,NER004,2.8,3.3,5,0,2.3,452,0,Medium
85,NGA001,2.1,3.5,2.8,0,2.4,205.3,0,Medium
86,NGA003,2.5,3.8,3.7,0,2.5,267.7,0,Medium
87,NGA004,2.2,2,2.8,1.7,1.8,205.5,1,Medium
88,NGA007,2.3,3.5,3.4,0,2.4,251,0,Medium
89,NGA008,2.6,2.3,3.7,1.7,1.9,270.5,1,Medium
90,NIC001,0.9,1.8,0.8,0,1.7,56.6,0,Very High
91,PAK001,1.9,2.3,3.3,0,1.9,243.2,0,High
92,PAK004,4.3,x,3.5,5,x,254.5,3,Very Low
93,PAN002,1.6,3.5,1.3,0,2.4,96,0,High
94,PER002,2.7,3,1.9,3.3,2.2,140.4,2,Medium
95,PHL001,2,3.5,0.9,1.7,2.4,65.2,1,High
96,PHL003,2.1,3,3.4,0,2.2,249.4,0,Medium
97,PHL010,2,3,1.3,1.7,2.2,94.3,1,High
98,POL002,1,2,1,0,1.8,70.3,0,Very High
99,PRK001,2.4,2.3,5,0,1.9,618.6,0,Medium
100,PSE002,1.2,0.8,2.7,0,1.3,197.6,0,High
101,REG001,2.3,2,5,0,1.8,478.7,0,Medium
102,REG002,2,3.3,2.7,0,2.3,196.7,0,High
103,REG003,4.2,x,5,3.3,x,840,2,Very Low
104,REG004,2.1,4,2.3,0,2.6,164.9,0,Medium
105,REG006,2.5,3.5,2.3,1.7,2.4,165.2,1,Medium
106,REG007,5,x,5,5,x,968.6,5,Very Low
107,REG008,5,x,5,5,x,968.6,5,Very Low
108,REG011,1.5,2.3,2.1,0,1.9,156.8,0,High
109,REG012,1.2,2.3,1.2,0,1.9,84.8,0,High
110,REG013,4.2,x,5,3.3,x,520.1,2,Very Low
111,REG014,1.1,2.3,1,0,1.9,71.8,0,High
112,ROU002,1.1,2.3,1.1,0,1.9,82,0,High
113,RWA002,2.5,2.5,1.8,3.3,2,128.8,2,Medium
114,SDN001,0.9,0.8,2,0,1.3,149.7,0,Very High
115,SDN005,1.2,2.3,1.2,0,1.9,86.2,0,High
116,SDN007,0.8,1,1.3,0,1.4,93.9,0,Very High
117,SDN008,1,0.8,2.3,0,1.3,166.2,0,Very High
118,SEN002,2.8,1.8,5,1.7,1.7,648.5,1,Medium
119,SLV001,1.6,2,2.7,0,1.8,198.2,0,High
120,SOM001,1.4,2,2.3,0,1.8,168.1,0,High
121,SOM002,2.3,2.3,4.5,0,1.9,331.5,0,Medium
122,SSD001,1,2,1,0,1.8,77.4,0,Very High
123,SVK002,1,1.8,1.1,0,1.7,78,0,Very High
124,SWZ001,1.8,0.8,2.9,1.7,1.3,210.4,1,High
125,SYR001,1.1,0.8,2.5,0,1.3,186.1,0,High
126,TCD001,2.8,3.3,5,0,2.3,426.9,0,Medium
