,INFORM Severity Index - all crises. Release: April 2023,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
0,CRISIS,CRISIS ID,COUNTRY,ISO3,DRIVERS,INFORM Severity Index,INFORM Severity category,INFORM Severity category,Trend (last 3 months),Reliability,Impact of the crisis,Geographical,Human,Conditions of people affected,People in need,Concentration of conditions,Complexity of the crisis,Society and safety,Operating environment,Regions,Last updated
1,Weights,,,,,,,,,,,,,,,,,,,,
2,(a-z),,,(a-z),,(1-5),(1-5),(Very Low-Very High),(Decreasing-Stable-Increasing),(Very Low-Very High),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),,
3,Complex crisis in Afghanistan,AFG001,Afghanistan,AFG,"Conflict,Violence,Displacement,Drought,Earthquake,Socio-political",4.4,5,Very High,Stable,High,4.6,4.9,4.4,4.5,5,4,4.2,3.9,4.5,Asia,2023-04-30 00:00:00
4,Drought in South-West Angola,AGO002,Angola,AGO,Drought,3.1,4,High,Stable,High,2.8,3.7,2.2,3.85,3.7,4,2.2,3.1,1,Africa,2023-04-27 00:00:00
5,Nagorno-Karabakh Conflict in Armenia,ARM002,Armenia,ARM,"Conflict,Displacement",1.2,2,Low,Decreasing,Medium,1.6,1.3,1.8,0.85,0.7,1,1.4,1.8,1,Middle east,2023-04-30 00:00:00
6,Nagorno-Karabakh conflict in Azerbaijan,AZE002,Azerbaijan,AZE,"Conflict,Displacement",1.8,2,Low,Stable,Low,2.6,1.8,3,1,0,2,2.3,2.5,2,Middle east,2023-04-30 00:00:00
7,Complex in Burundi,BDI001,Burundi,BDI,"Violence,Displacement,Floods",3.5,4,High,Stable,Very High,3.9,4,3.8,3.4,3.8,3,3.3,3,3.5,Africa,2023-03-17 00:00:00
8,Conflict in Burkina Faso,BFA002,Burkina Faso,BFA,"Conflict,Displacement,Violence",4,4,High,Increasing,High,4.2,2.5,4.7,4.15,4.3,4,3.6,3.2,4,Africa,2023-04-03 00:00:00
9,Rohingya refugee crisis,BGD002,Bangladesh,BGD,"Conflict,Violence,Displacement",3,3,Medium,Stable,Very High,2.9,0.2,3.8,3.3,3.6,3,2.6,2.6,2.5,Asia,2023-04-27 00:00:00
