,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
0,,,,,,Empowerment,BTI - Democracy Status,Trust in society,Ethnic Fractionalisation,size of excluded ethnic groups,Ethnic fractionalisation,Gender Inequality,Income Gini coefficient,Inequality,Social cohesion,Conflict Intensity,Total killed in all crisis,Safety and security,Corruption Perception,Rule of Law (WGI),Rule of Law (BTI),Freedom in the World,Rule of Law,Society and safety,# of different types of affected population groups,Diversity of groups affected,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Access of Humanitarian Actors to Affected Populations,Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Access of People in need to Aid,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Physical and Security Constraints,Humanitarian access,Operating environment
1,,,,,MAX,14,10,,1,0.5,,0.75,65,,,,3000,,100,2.5,10,100,,,,,,,,,,,,,,,,,,
2,,,,,MIN,0,0,,0,0,,0,25,,,,1,,0,-2.5,0,0,,,,,,,,,,,,,,,,,,
3,CRISIS,DRIVERS,CRISIS ID,COUNTRY,Iso3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Complex crisis in Afghanistan,"Conflict,Violence,Displacement,Drought,Earthquake,Socio-political",AFG001,Afghanistan,AFG,3.6,3.4,3.5,3.7,0,1.85,3.8,x,3.8,3.0499999999999994,5,4.7,4.85,4.2,4.2,3.5,3.7,3.9,3.9,4,4,0,2,3,3,4,2,2,4,3,3,3,5,4,4
5,Earthquake in Herat Province,Earthquake,AFG006,Afghanistan,AFG,3.6,3.4,3.5,3.7,0,1.85,3.8,x,3.8,3.0499999999999994,5,4.7,4.85,4.2,4.2,3.5,3.7,3.9,3.9,2,2,0,0,1,0,1,0,2,2,1,3,3,5,3,2.5
6,Drought in South-West Angola,Drought,AGO002,Angola,AGO,3.6,2.7,3.1500000000000004,3.8,5,4.4,3.9,3.3,3.5999999999999996,3.716666666666667,3,0.9,1.95,3.7,3.6,3.1,3.4,3.5,3.1,1,1,0,0,0,0,0,0,1,1,0,2,2,3,1,1
7,Nagorno-Karabakh Conflict in Armenia,"Conflict,Displacement",ARM002,Armenia,ARM,2.9,1.5,2.2,0.2,0.2,0.2,1.7,0.6,1.15,1.1833333333333333,3,1.1,2.05,2.9,2.6,2,2.4,2.5,1.9,2,2,0,0,1,0,1,0,1,1,0,3,0,3,2,2
8,Nagorno-Karabakh conflict in Azerbaijan,"Conflict,Displacement",AZE002,Azerbaijan,AZE,3.6,3.3,3.45,0.8,0.6,0.7,2.1,0.2,1.1500000000000001,1.7666666666666668,3,0.4,1.7,3.5,3.1,3.5,4.5,3.7,2.4,3,3,2,3,2,0,3,3,2,5,1,3,2,4,4,3.5
9,Complex in Burundi,"Violence,Displacement,Floods",BDI001,Burundi,BDI,2.1,3.2,2.6500000000000004,1.3,0,0.65,3.5,1.7,2.6,1.9666666666666668,3,3,3,4.1,3.9,3.8,4.4,4.1,3,5,5,1,1,1,0,2,0,1,1,0,0,3,3,2,3.5
10,Conflict in Burkina Faso,"Conflict,Displacement,Violence",BFA002,Burkina Faso,BFA,1.1,1.9,1.5,2.8,0,1.4,4.1,1.3,2.6999999999999997,1.8666666666666665,5,5,5,3,2.9,2.9,2.2,2.8,3.2,4,4,2,3,3,1,4,2,3,5,3,1,3,5,5,4.5
11,Mutliple crises in Bangladesh,"Conflict,Violence,Displacement,Floods",BGD001,Bangladesh,BGD,2.5,2.8,2.65,0.9,1.2,1.05,3.6,0.9,2.25,1.9833333333333334,3,2,2.5,3.7,3.1,3.3,3.1,3.3,2.6,3,3,2,1,1,0,2,1,2,3,1,1,0,2,2,2.5
12,Rohingya refugee crisis,"Conflict,Violence,Displacement",BGD002,Bangladesh,BGD,2.5,2.8,2.65,0.9,1.2,1.05,3.6,0.9,2.25,1.9833333333333334,3,2,2.5,3.7,3.1,3.3,3.1,3.3,2.6,3,3,2,1,1,0,2,1,2,3,1,1,0,2,2,2.5
13,Chronic Food Security Crisis in Bangladesh,"Food Security,Socio-political,Cyclone,Floods,Other seasonal event",BGD012,Bangladesh,BGD,2.5,2.8,2.65,0.9,1.2,1.05,3.6,0.9,2.25,1.9833333333333334,3,2,2.5,3.7,3.1,3.3,3.1,3.3,2.6,1,1,2,0,0,0,2,0,0,0,0,1,0,1,1,1
14,Displacement from Russia-Ukraine conflict in Bulgaria,"Conflict,Displacement",BGR002,Bulgaria,BGR,1.8,1,1.4,1.5,0.5,1,1.5,2,1.75,1.3833333333333335,2,x,2,2.9,2.5,1.3,1,1.9,1.8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,Displacement from Russia-Ukraine conflict in Belarus,"Displacement,Conflict",BLR002,Belarus,BLR,4.3,2.8,3.55,1.9,0.4,1.15,0.8,0,0.4,1.7,3,0,1.5,2.8,3.3,3,4.1,3.3,2.2,2,2,2,1,1,0,2,3,2,5,0,3,0,3,3,2.5
16,Country level Brazil,"Displacement,Floods",BRA001,Brazil,BRA,0.7,1.3,1,2.6,0.7,1.65,2.6,3.6,3.1,1.9166666666666667,3,0,1.5,3.3,2.7,1.3,1.3,2.2,1.9,5,5,0,0,0,0,0,0,0,0,0,0,1,1,0,2.5
17,Venezuela displacement in Brazil,Displacement,BRA002,Brazil,BRA,0.7,1.3,1,2.6,0.7,1.65,2.6,3.6,3.1,1.9166666666666667,3,0,1.5,3.3,2.7,1.3,1.3,2.2,1.9,5,5,0,0,0,0,0,0,0,0,0,0,2,2,1,3
18,Drought in the Amazonas,Drought,BRA004,Brazil,BRA,0.7,1.3,1,2.6,0.7,1.65,2.6,3.6,3.1,1.9166666666666667,3,0,1.5,3.3,2.7,1.3,1.3,2.2,1.9,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0.5
19,Complex crisis in CAR,"Conflict,Displacement",CAF001,CAR,CAF,3.6,3.2,3.4000000000000004,4.4,1.8,3.1,4.5,3.9,4.2,3.5666666666666664,5,3.6,4.3,3.8,4.2,3.4,4.5,4,4,4,4,1,3,2,3,4,0,3,3,3,1,3,5,4,4
