,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
0,Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score,,
1,AFG001,31,31,31,31,7,31,31,31,31,31,31,14,14,14,14,14,14,14,14,14,26.9,,
2,AFG006,73,73,73,73,7,73,73,73,73,73,245,14,14,14,14,14,14,14,14,14,77.7,,
3,AGO002,669,731,731,0,927,731,731,731,731,731,0,7,7,215,7,7,7,215,7,7,532,,
4,ARM002,31,31,31,31,7,31,31,31,31,31,31,18,18,18,18,18,18,18,18,18,27.3,,
5,AZE002,31,31,31,31,7,31,31,31,31,31,1334,17,17,17,17,17,17,17,17,17,157.5,,
6,BDI001,3,3,3,3,3,3,3,3,3,3,3,16,16,16,16,16,16,16,16,16,4.3,,
7,BEN002,79,79,79,79,79,79,79,79,79,79,79,7,7,7,7,7,7,7,7,7,71.8,,
8,BFA002,73,73,73,0,0,73,73,73,73,73,0,7,7,7,7,7,7,7,7,7,44.5,,
9,BGD001,10,10,10,10,10,10,10,10,10,10,10,17,17,17,17,17,17,17,17,17,10.7,,
10,BGD002,10,10,10,10,10,10,10,10,10,10,10,17,17,17,17,17,17,17,17,17,10.7,,
11,BGD012,10,10,10,10,10,10,10,10,10,10,10,17,17,17,17,17,17,17,17,17,10.7,,
12,BGD013,10,10,10,10,10,10,10,10,10,10,10,17,17,17,17,17,17,17,17,17,10.7,,
13,BGR002,66,44,44,44,44,44,66,44,66,66,66,12,12,12,12,12,12,12,12,12,49.6,,
14,BLR002,3,3,3,3,3,3,3,3,3,3,3,12,12,12,12,12,12,12,12,12,3.9,,
15,BRA001,32,32,32,32,32,32,32,32,32,32,32,13,13,13,13,13,13,13,13,13,30.1,,
16,BRA002,32,32,32,32,32,32,32,32,32,32,32,13,13,13,13,13,13,13,13,13,30.1,,
17,BRA004,32,32,32,32,32,32,32,32,32,32,32,13,13,13,13,13,13,13,13,13,30.1,,
18,CAF001,45,45,45,0,0,45,45,45,45,45,0,11,11,11,11,11,11,11,11,11,28.1,,
19,CHL002,61,61,61,61,61,61,61,61,61,61,61,12,12,12,12,12,12,12,12,12,56.1,,
20,CMR001,73,24,24,0,0,24,24,24,24,24,0,7,7,7,7,7,7,7,7,7,15.1,,
21,CMR002,361,24,24,0,0,24,24,24,24,24,0,9,9,9,9,9,9,9,9,9,15.3,,
22,CMR003,361,24,24,0,0,24,24,24,24,24,0,10,9,9,9,10,10,9,9,9,15.4,,
23,CMR004,361,24,24,0,0,24,24,24,24,24,0,7,7,7,7,7,7,7,7,7,15.1,,
24,COD001,73,45,45,0,0,45,45,45,45,45,0,11,11,11,11,11,11,11,11,11,28.1,,
25,COG001,61,61,61,0,0,61,61,61,61,61,0,215,215,215,215,3,215,215,215,215,58.1,,
26,COL001,72,72,72,72,72,72,72,72,72,72,72,12,12,12,12,12,12,12,12,12,66,,
27,COL002,72,72,72,72,72,72,72,72,72,72,72,12,12,12,12,12,12,12,12,12,66,,
28,CRI002,151,151,151,151,151,151,151,151,151,151,151,12,12,12,12,12,12,12,12,12,137.1,,
29,CZE002,3,3,3,3,3,3,3,3,3,3,3,12,12,12,12,12,12,12,12,12,3.9,,
30,DJI001,30,30,30,30,30,30,30,30,30,30,580,16,16,16,16,16,16,16,16,16,83.6,,
31,DJI002,30,30,30,30,30,30,30,30,30,30,580,16,16,16,16,16,16,16,16,16,83.6,,
32,DJI003,30,30,30,30,30,30,30,30,30,30,580,16,16,16,16,16,16,16,16,16,83.6,,
33,DOM002,32,32,32,32,32,32,32,32,32,32,32,12,12,12,12,12,12,12,12,12,30,,
34,DZA002,366,1,1,1,1,1,1,1,1,1,700,20,20,20,20,20,20,20,20,20,72.8,,
35,DZA003,366,1,1,1,1,1,1,1,1,1,700,20,20,20,20,20,20,20,20,20,72.8,,
36,DZA004,366,1,1,1,1,1,1,1,1,1,777,20,20,20,20,20,20,20,20,20,80.5,,
37,ECU002,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,12,12,12,12,10.2,,
38,EGY004,340,1,1,1,1,1,1,1,1,1,340,20,20,20,20,20,20,20,20,20,36.8,,
39,ERI001,3,3,3,3,3,3,3,3,3,3,774,17,17,17,17,17,17,17,17,17,81.5,,
40,ESP002,700,1,1,30,1,1,1,1,1,1,700,13,13,13,13,13,13,13,13,13,75,,
41,EST002,3,3,3,3,3,3,3,3,3,3,3,12,12,12,12,12,12,12,12,12,3.9,,
42,ETH001,30,30,30,30,30,30,30,30,30,30,72,12,12,12,12,12,12,12,12,12,32.4,,
43,ETH003,30,30,30,30,558,30,30,30,30,30,72,12,12,12,12,12,12,12,12,12,85.2,,
44,ETH004,30,30,30,30,30,30,30,30,30,30,72,12,12,12,12,12,219,12,12,12,32.4,,
45,ETH005,30,30,30,30,558,30,30,30,30,30,72,12,12,12,12,12,219,12,12,12,85.2,,
46,GRC002,0,0,0,0,0,0,0,0,0,0,0,18,18,18,18,18,18,18,18,18,1.8,,
47,GTM001,72,72,72,72,72,72,72,72,72,72,72,12,12,12,12,12,12,12,12,12,66,,
48,HND001,72,72,72,72,72,72,72,72,72,72,72,12,12,12,12,12,12,12,12,12,66,,
49,HTI001,72,72,72,72,72,72,72,72,72,72,72,12,12,12,12,12,12,12,12,12,66,,
50,HUN002,3,3,3,3,3,3,3,3,3,3,3,12,12,12,12,12,12,12,12,12,3.9,,
51,IDN002,3,3,3,3,3,3,3,3,3,3,3,13,13,13,13,13,13,13,13,13,4,,
52,IRN004,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,3,3,3,3,3,6.6,,
53,IRQ001,0,0,0,0,0,0,0,0,0,0,0,17,17,17,17,17,17,17,17,17,1.7,,
54,IRQ002,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,11,11,11,11,11,1.1,,
55,IRQ003,0,0,0,0,213,0,0,0,0,0,0,17,17,17,17,17,17,17,17,17,23,,
56,ITA002,700,1,1,30,1,1,1,1,1,1,700,13,13,13,13,13,13,13,13,13,75,,
57,JOR002,0,0,0,0,0,0,0,0,0,0,0,17,17,17,17,17,17,17,17,17,1.7,,
58,KEN001,3,3,3,3,152,3,3,3,3,3,3,18,18,18,18,18,18,18,18,18,19.4,,
59,KEN002,3,3,3,3,3,3,3,3,3,3,3,18,18,18,18,18,18,18,18,18,4.5,,
60,KEN003,3,3,3,3,3,3,3,3,3,3,3,18,18,18,18,18,18,18,18,18,4.5,,
61,LBN002,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,13,13,1.3,,
62,LBN006,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,13,13,1.3,,
63,LBY001,1,1,1,1,1,1,1,1,1,1,278,14,14,14,14,14,14,14,14,14,30,,
64,LBY002,1,1,1,34,1,1,1,1,1,1,700,14,14,14,14,14,14,14,14,14,75.5,,
65,LBY003,1,1,1,1,1,1,1,1,1,1,279,14,14,14,14,14,14,14,14,14,30.1,,
66,LKA002,34,34,34,34,34,34,34,34,34,34,34,216,216,216,216,216,216,216,216,216,52.2,,
67,LTU002,3,3,3,3,3,3,3,3,3,3,3,12,12,12,12,12,12,12,12,12,3.9,,
68,LVA002,3,3,3,3,3,3,3,3,3,3,3,12,12,12,12,12,12,12,12,12,3.9,,
69,MAR001,278,0,0,0,0,0,0,0,0,0,278,20,20,20,20,20,20,20,20,20,29.8,,
70,MAR002,700,0,0,0,0,0,0,0,0,0,700,20,20,20,20,20,20,20,20,20,72,,
71,MAR003,122,0,0,0,0,0,0,0,0,0,278,20,20,20,20,20,20,20,20,20,29.8,,
72,MDA002,3,3,3,3,3,3,3,3,3,3,3,12,12,12,12,12,12,12,12,12,3.9,,
73,MDG001,30,30,30,30,30,30,30,30,30,30,30,18,18,18,18,18,18,18,18,18,28.8,,
74,MDG002,30,30,30,30,30,30,30,30,30,30,30,18,18,18,18,18,18,18,18,18,28.8,,
75,MDG009,30,30,30,30,30,30,30,30,30,30,30,18,18,18,18,18,18,18,18,18,28.8,,
76,MEX001,32,32,32,32,32,32,32,32,32,32,32,12,12,12,12,12,12,12,12,12,30,,
77,MEX002,32,32,32,32,32,32,32,32,32,32,32,12,12,12,12,12,12,12,12,12,30,,
78,MEX003,32,32,32,32,32,32,32,32,32,32,32,12,12,12,12,12,12,12,12,12,30,,
79,MLI001,73,34,34,0,0,34,34,34,34,34,0,7,7,7,7,7,7,7,7,7,21.1,,
