,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
0,,,,,,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected
1,,,,,MAX,,,,,,7,0.05,0.05,0.05,0.05,0.05,,
2,,,,,MIN,,,,,,4,,,,,,,
3,CRISIS,DRIVERS,CRISIS ID,COUNTRY,Iso3,,,,,,,,,,,,,
4,Complex crisis in Afghanistan,"Conflict,Violence,Displacement,Drought,Earthquake,Socio-political",AFG001,Afghanistan,AFG,0,20.8,11.4,12.3,0,5,0,0.46741573033707867,0.25617977528089886,0.27640449438202247,0,4,4.5
5,Earthquake in Herat Province,Earthquake,AFG006,Afghanistan,AFG,1.9,1.325,0.232,0.043,0,2.4,0.5428571428571428,0.37857142857142856,0.06628571428571428,0.012285714285714285,0,3,2.7
6,Drought in South-West Angola,Drought,AGO002,Angola,AGO,4.561,0,2.8,0,0,4.1,0.619616899877734,0,0.380383100122266,0,0,3,3.55
7,Nagorno-Karabakh Conflict in Armenia,"Conflict,Displacement",ARM002,Armenia,ARM,1.863,0.152,0.15,0,0,2,0.8605080831408776,0.07020785219399538,0.06928406466512702,0,0,3,2.5
8,Nagorno-Karabakh conflict in Azerbaijan,"Conflict,Displacement",AZE002,Azerbaijan,AZE,0.689,0.201,0.005,0,0,0,0.7698324022346369,0.2245810055865922,0.00558659217877095,0,0,2,1
9,Complex in Burundi,"Violence,Displacement,Floods",BDI001,Burundi,BDI,6.284,4.82,1.063,0.122,0,3.5,0.5113516152656847,0.3922206851655953,0.0865001220603792,0.009927577508340793,0,3,3.25
10,Conflict in northern region,"Conflict,Displacement,Violence",BEN002,Benin,BEN,1.807,0.249,0.059,0,0,1.3,0.8543735224586289,0.11773049645390071,0.027895981087470448,0,0,2,1.65
11,Conflict in Burkina Faso,"Conflict,Displacement,Violence",BFA002,Burkina Faso,BFA,17,0,3.528,2.646,0.126,4.7,0.7296137339055794,0,0.15141630901287553,0.11356223175965666,0.005407725321888412,4,4.35
12,Mutliple crises in Bangladesh,"Conflict,Violence,Displacement,Floods",BGD001,Bangladesh,BGD,70.027,60.095,29.572,11.139,0,5,0.4099173456963566,0.35177835534326124,0.17310574131310294,0.06520441135150323,0,4,4.5
13,Rohingya refugee crisis,"Conflict,Violence,Displacement",BGD002,Bangladesh,BGD,0,0,1.326,0.222,x,3.6,0,0,0.8571428571428571,0.14350355526826114,x,4,3.8
14,Chronic Food Security Crisis in Bangladesh,"Food Security,Socio-political,Cyclone,Floods,Other seasonal event",BGD012,Bangladesh,BGD,70.027,60.895,27.446,10.917,0,5,0.4136633487905012,0.35971881737897626,0.16212895413060815,0.06448887969991435,0,4,4.5
