,Crisis,DRIVERS,CRISIS ID,COUNTRY,ISO3,Landmass affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related Injuries,Total # of illness cases reported,Total # of crisis related fatalities,Building partially damaged,Building totally damaged,Total Building in the affected area,Econimic losses,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of groups affected by crisis,people in need facing limited access constraints,people in need facing restricted access constraints,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)"
0,0,,,,,sq. Km,Number,Number,Number,Number,,Number,Number,Number,Number,million USD,Number,Number,Number,Number,Number,Number,Number,Number,,,,,,,,,
1,Complex crisis in Afghanistan,"Conflict,Violence,Displacement,Drought,Earthquake,Socio-political",AFG001,Afghanistan,AFG,652860,44500000,44500000,13679000,2618,x,725,21300,3330,,x,0,20800000,11400000,12300000,0,4,x,543000,1.0,2.0,3.0,3.0,2.0,2.0,0.0,3.0,3.0
2,Earthquake in Herat Province,Earthquake,AFG006,Afghanistan,AFG,54778,3500000,1600000,380000,2100,x,0,21300,3330,,x,1900000,1325000,232000,43000,0,2,x,x,1.0,0.0,1.0,3.0,0.0,2.0,0.0,3.0,3.0
3,Drought in South-West Angola,Drought,AGO002,Angola,AGO,639313,7361000,2800000,0,,,0,,,,,4561000,0,2800000,0,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
4,Nagorno-Karabakh Conflict in Armenia,"Conflict,Displacement",ARM002,Armenia,ARM,16556,2165000,302000,150000,2,x,0,x,x,,x,1863000,152000,150000,0,0,2,x,x,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
5,Nagorno-Karabakh conflict in Azerbaijan,"Conflict,Displacement",AZE002,Azerbaijan,AZE,16458,895000,206000,142000,248,x,2,x,x,,x,689000,201000,5000,0,0,3,x,x,1.0,0.0,2.0,0.0,2.0,1.0,0.0,2.0,0.0
6,Complex in Burundi,"Violence,Displacement,Floods",BDI001,Burundi,BDI,25680,12289000,6005000,612000,x,987,63,x,x,,444,6284000,4820000,1063000,122000,0,5,x,x,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0
7,Conflict in northern region,"Conflict,Displacement,Violence",BEN002,Benin,BEN,47633,2115000,308000,26000,x,x,82,x,x,,x,1807000,249000,59000,0,0,3,x,x,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0
8,Conflict in Burkina Faso,"Conflict,Displacement,Violence",BFA002,Burkina Faso,BFA,274220,23300000,6300000,2335000,1,x,4349,x,x,,x,17000000,0,3528000,2646000,126000,4,x,x,1.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0
9,Mutliple crises in Bangladesh,"Conflict,Violence,Displacement,Floods",BGD001,Bangladesh,BGD,147570,170832000,100806000,2044000,x,x,112,504778,67329,,748000000,70027000,60095000,29572000,11139000,0,5,x,x,2.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,3.0
10,Rohingya refugee crisis,"Conflict,Violence,Displacement",BGD002,Bangladesh,BGD,710.46,1547000,1547000,1003000,x,x,25,x,x,,x,0,0,1326000,222000,x,3,x,x,2.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0
11,Chronic Food Security Crisis in Bangladesh,"Food Security,Socio-political,Cyclone,Floods,Other seasonal event",BGD012,Bangladesh,BGD,147570,169285000,99258000,x,x,x,x,x,x,,x,70027000,60895000,27446000,10917000,0,1,x,x,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
12,Cyclone Remal,"Cyclone,Floods",BGD013,Bangladesh,BGD,43363.76,43814000,4600000,278000,x,x,16,133528,40338,,592000000,39214000,3297000,1303000,x,x,4,x,x,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
13,2024 Monsoon Floods in Bangladesh,Floods,BGD014,Bangladesh,BGD,60568,67171000,14600000,763000,x,x,71,371250,26991,,156000000,52571000,9600000,5000000,x,x,4,x,x,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
14,Displacement from Russia-Ukraine conflict in Bulgaria,"Conflict,Displacement",BGR002,Bulgaria,BGR,108560,6533000,68000,68000,x,x,0,0,0,,x,6465000,0,68000,0,0,2,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Displacement from Russia-Ukraine conflict in Belarus,"Displacement,Conflict",BLR002,Belarus,BLR,207582,9274000,46000,46000,x,x,0,0,0,,x,9228000,0,46000,0,0,2,x,x,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0
16,Country level Brazil,"Displacement,Floods",BRA001,Brazil,BRA,6335679,120707000,3581000,991000,836,x,186,301738,7542,,1900000000,117126000,1987000,1595000,x,x,x,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
17,Venezuela displacement in Brazil,Displacement,BRA002,Brazil,BRA,4494716,105883000,583000,568000,30,x,3,x,x,,x,105300000,11000,572000,0,0,3,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
18,Drought in the Amazonas,Drought,BRA004,Brazil,BRA,1559256,3941000,600000,x,x,x,x,x,x,,x,3341000,0,600000,x,x,3,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
19,Floods in Rio Grande do Sul,Floods,BRA005,Brazil,BRA,281707,10883000,2398000,423000,806,x,183,301738,7542,,1900000000,8485000,1976000,423000,x,x,3,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20,Complex crisis in CAR,"Conflict,Displacement",CAF001,CAR,CAF,622980,6100000,5118000,1107000,1,x,378,x,x,,x,982000,2318000,2279000,521000,0,4,x,x,1.0,3.0,1.0,3.0,0.0,2.0,3.0,1.0,3.0
21,Venezuela displacement in Chile,Displacement,CHL002,Chile,CHL,743532,19630000,13131000,498000,x,x,2,x,x,,x,6498000,12853000,278000,0,0,3,x,x,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0
22,Multiple crises in Cameroon,"Conflict,Displacement",CMR001,Cameroon,CMR,475440,23123000,3380000,2361000,150,x,1134,x,x,,x,19743000,0,2247000,1133000,0,4,x,x,1.0,3.0,2.0,2.0,0.0,2.0,3.0,1.0,3.0
