,INFORM Severity Index - all crises. Release: October 2024,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
0,CRISIS,CRISIS ID,COUNTRY,ISO3,DRIVERS,INFORM Severity Index,INFORM Severity category,INFORM Severity category,Trend (last 3 months),Reliability,Impact of the crisis,Geographical,Human,Conditions of people affected,People in need,Concentration of conditions,Complexity of the crisis,Society and safety,Operating environment,Regions,Last updated
1,Weights,,,,,,,,,,,,,,,,,,,,
2,(a-z),,,(a-z),,(1-5),(1-5),(Very Low-Very High),(Decreasing-Stable-Increasing),(Very Low-Very High),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),,
3,Complex crisis in Afghanistan,AFG001,Afghanistan,AFG,"Conflict,Violence,Displacement,Drought,Earthquake,Socio-political",4.4,5,Very High,Stable,Very High,4.7,4.9,4.6,4.5,5,4,4,4,4,Asia,2024-10-28 00:00:00
4,Earthquake in Herat Province,AFG006,Afghanistan,AFG,Earthquake,2.8,3,Medium,Stable,Very High,2.3,1.3,2.7,2.7,2.4,3,3.3,4,2.5,Asia,2024-10-28 00:00:00
5,Drought in South-West Angola,AGO002,Angola,AGO,Drought,2.7,3,Medium,Decreasing,High,2,2.9,1.4,3.55,4.1,3,1.9,3,0.5,Africa,2024-10-30 00:00:00
6,Nagorno-Karabakh Conflict in Armenia,ARM002,Armenia,ARM,"Conflict,Displacement",2.1,3,Medium,Decreasing,Very High,2.1,2.4,1.9,2.5,2,3,1.6,1.7,1.5,Middle east,2024-10-29 00:00:00
7,Nagorno-Karabakh conflict in Azerbaijan,AZE002,Azerbaijan,AZE,"Conflict,Displacement",1.6,2,Low,Decreasing,Medium,1.7,0.9,2,1,0,2,2.5,2.4,2.5,Middle east,2024-10-29 00:00:00
8,Complex in Burundi,BDI001,Burundi,BDI,"Violence,Displacement,Floods",3.3,4,High,Stable,Very High,3.4,4,3,3.25,3.5,3,3.2,2.9,3.5,Africa,2024-10-28 00:00:00
9,Conflict in northern region,BEN002,Benin,BEN,"Conflict,Displacement,Violence",2,2,Low,Stable,Very High,2.1,1.7,2.3,1.65,1.3,2,2.5,2.4,2.5,Africa,2024-10-30 00:00:00
