,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
0,,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the total population affected,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human
1,,,,,MAX,6,,1,,7.5,,1,,,7.5,,1,,6.5,,0.15,,3.5,,0.0001,,,
2,,,,,MIN,3,,0.02,,6,,0.01,,,4.5,,0.01,,3,,0,,0,,0,,,
3,CRISIS,DRIVERS,CRISIS ID,COUNTRY,Iso3,,,,,,,,,,,,,,,,,,,,,,,
4,Complex crisis in Afghanistan,"Conflict,Violence,Displacement,Drought,Earthquake,Socio-political",AFG001,Afghanistan,AFG,4.7,1.000965916931144,5,4.85,5,1,5,5,4.9,5,1,5,5,5,0.3073932584269663,5,5,4.1,1.6292134831460673e-05,0.8,2.5,4.1,4.6
5,Earthquake in Herat Province,Earthquake,AFG006,Afghanistan,AFG,2.9,0.08398571056222498,0.3,1.5999999999999999,1.8,0.07865168539325842,0.3,1.05,1.3,2.8,0.45714285714285713,2.3,2.55,3.7,0.2375,5,4.4,0,0,0,0,2.8,2.7
6,Drought in South-West Angola,Drought,AGO002,Angola,AGO,4.7,0.5128042030961739,2.5,3.6,2.9,0.2133623188405797,1,1.95,2.9,3.2,0.380383100122266,1.9,2.55,0,0,0,0,0,0,0,0,0,1.4
7,Nagorno-Karabakh Conflict in Armenia,"Conflict,Displacement",ARM002,Armenia,ARM,2,0.581524411661398,2.9,2.45,1.1,0.695247270391779,3.5,2.3,2.4,1.6,0.1394919168591224,0.7,1.15,3.1,0.4966887417218543,5,4.1,0,0,0,0,2.6,1.9
8,Nagorno-Karabakh conflict in Azerbaijan,"Conflict,Displacement",AZE002,Azerbaijan,AZE,2,0.19912885662431942,0.9,1.45,0,0.08958062256030427,0.4,0.2,0.9,1.4,0.23016759776536314,1.1,1.25,3.1,0.6893203883495146,5,4.1,0.4,9.70873786407767e-06,0.5,0.5,2.7,2
9,Complex in Burundi,"Violence,Displacement,Floods",BDI001,Burundi,BDI,2.3,1,5,3.65,3.6,1,5,4.3,4,3.8,0.48864838473431527,2.4,3.0999999999999996,4,0.1019150707743547,3.4,3.7,2.6,1.0491257285595337e-05,0.5,1.6,2.8,3
10,Conflict in northern region,"Conflict,Displacement,Violence",BEN002,Benin,BEN,2.8,0.42242816601631783,2.1,2.45,1.1,0.15437956204379563,0.7,0.9,1.7,1.6,0.14562647754137115,0.7,1.15,2,0.08441558441558442,2.8,2.4,2.7,0.0002662337662337662,5,3.9,3.2,2.3
11,Conflict in Burkina Faso,"Conflict,Displacement,Violence",BFA002,Burkina Faso,BFA,4.1,1.0022660818713451,5,4.55,4.6,1,5,4.8,4.7,3.8,0.2703862660944206,1.3,2.55,4.8,0.37063492063492065,5,4.9,5,0.0006903174603174603,5,5,5,4.1
12,Mutliple crises in Bangladesh,"Conflict,Violence,Displacement,Floods",BGD001,Bangladesh,BGD,3.6,1.1336713528462778,5,4.3,5,1,5,5,4.7,5,0.5900885080078674,2.9,3.95,4.7,0.020276570839037358,0.7,2.7,2.9,1.111044977481499e-06,0.1,1.5,2.1,3.2
13,Rohingya refugee crisis,"Conflict,Violence,Displacement",BGD002,Bangladesh,BGD,0,0.00545793961742337,0,0,0.6,0.009055680434579001,0,0.3,0.2,2.8,1,5,3.9,4.3,0.6483516483516484,5,4.7,2,1.6160310277957337e-05,0.8,1.4,3.5,3.7
14,Chronic Food Security Crisis in Bangladesh,"Food Security,Socio-political,Cyclone,Floods,Other seasonal event",BGD012,Bangladesh,BGD,3.6,1.1336713528462778,5,4.3,5,0.990944319565421,5,5,4.7,5,0.5863366512094987,2.9,3.95,x,x,x,x,x,x,x,x,x,3.95
15,Cyclone Remal,"Cyclone,Floods",BGD013,Bangladesh,BGD,2.7,0.33313175078743185,1.6,2.1500000000000004,5,0.25647419687178047,1.2,3.1,2.7,3.6,0.10498927283516685,0.5,2.05,3.5,0.06043478260869565,2,2.8,1.7,3.4782608695652175e-06,0.2,1,2,2
16,2024 Monsoon Floods in Bangladesh,Floods,BGD014,Bangladesh,BGD,3,0.46529922409157254,2.3,2.65,5,0.3931991664325185,1.9,3.45,3.1,4.4,0.2173557040984949,1,2.7,4.1,0.05226027397260274,1.7,2.9,2.6,4.863013698630137e-06,0.2,1.4,2.2,2.5
17,Displacement from Russia-Ukraine conflict in Bulgaria,"Conflict,Displacement",BGR002,Bulgaria,BGR,3.4,1,5,4.2,2.7,1,5,3.85,4,0.6,0.010408694321138834,0,0.3,2.6,1,5,3.8,0,0,0,0,2.3,1.4
18,Displacement from Russia-Ukraine conflict in Belarus,"Displacement,Conflict",BLR002,Belarus,BLR,3.9,1.0228233555062822,5,4.45,3.2,1,5,4.1,4.3,0.3,0.004960103515203796,0,0.15,2.4,1,5,3.7,0,0,0,0,2.3,1.3
19,Country level Brazil,"Displacement,Floods",BRA001,Brazil,BRA,5,0.7580249912061775,3.8,4.4,5,0.5577390468621489,2.8,3.9,4.2,3.4,0.029666879302774486,0.1,1.75,4.3,0.27673834124546215,5,4.7,3.2,5.194079865959229e-05,2.6,2.9,4,3.1
20,Venezuela displacement in Brazil,Displacement,BRA002,Brazil,BRA,5,0.5377651008477963,2.6,3.8,5,0.4892432377484729,2.4,3.7,3.8,2.1,0.005506077462859949,0,1.05,3.9,0.9742710120068611,5,4.5,0.7,5.145797598627788e-06,0.3,0.5,3.1,2.2
21,Drought in the Amazonas,Drought,BRA004,Brazil,BRA,5,0.18655538193904386,0.8,2.9,2,0.018209793828723512,0,1,2.1,2.1,0.1522456229383405,0.7,1.4,x,x,x,x,x,x,x,x,x,1.4
22,Floods in Rio Grande do Sul,Floods,BRA005,Brazil,BRA,4.1,0.033704508419337316,0.1,2.0999999999999996,3.5,0.050286015284952544,0.2,1.85,2,3.1,0.22034365524212074,1.1,2.1,3.8,0.17639699749791493,5,4.4,3.2,7.631359466221851e-05,3.8,3.5,4,3.2
23,Complex crisis in CAR,"Conflict,Displacement",CAF001,CAR,CAF,4.7,1,5,4.85,2.6,1,5,3.8,4.4,3.7,0.8390163934426229,4.2,3.95,4.3,0.21629542790152403,5,4.7,3.7,7.385697538100821e-05,3.7,3.7,4.3,4.1
24,Venezuela displacement in Chile,Displacement,CHL002,Chile,CHL,4.8,1,5,4.9,4.3,1,5,4.65,4.8,4.4,0.6689251146204789,3.3,3.85,3.9,0.03792551976239433,1.3,2.6,0.4,1.5231132434696519e-07,0,0.2,1.6,2.9
25,Multiple crises in Cameroon,"Conflict,Displacement",CMR001,Cameroon,CMR,4.5,1.0057752110173257,5,4.75,4.5,0.8084965034965035,4,4.25,4.5,3.4,0.14617480430739957,0.7,2.05,4.8,0.6985207100591716,5,4.9,4.4,0.00033550295857988165,5,4.7,4.8,3.8
26,Lake Chad basin crisis in Cameroon,Conflict,CMR002,Cameroon,CMR,2.6,0.07301093693808043,0.3,1.45,2.4,0.18108391608391608,0.9,1.65,1.6,2.6,0.22880865031859432,1.1,1.85,4.1,0.6540084388185654,5,4.6,3.8,0.0003924050632911392,5,4.4,4.5,3.5
27,Anglophone Crisis in Cameroon,Conflict,CMR003,Cameroon,CMR,3.2,0.18620084195384062,0.8,2,3.7,0.44272727272727275,2.2,2.95,2.5,2.9,0.1437371663244353,0.7,1.7999999999999998,4.5,0.7230769230769231,5,4.8,4,0.0003631868131868132,5,4.5,4.7,3.6
28,CAR refugees in Cameroon,"Conflict,Displacement",CMR004,Cameroon,CMR,3.9,0.48934441835374753,2.4,3.15,2.4,0.18468531468531468,0.9,1.65,2.5,1.8,0.07118515713744794,0.3,1.05,3.5,0.7180851063829787,5,4.3,1.3,2.1276595744680852e-05,1.1,1.2,3.1,2.2
29,Complex crisis in DRC,"Conflict,Displacement,Socio-political",COD001,DRC,COD,5,1.0343221366974702,5,5,5,1,5,5,5,4.8,0.22359154929577466,1.1,2.95,5,0.41228346456692916,5,5,4.8,9.082677165354331e-05,4.5,4.7,4.9,4.1
30,Complex crisis in Congo,Conflict,COG001,Congo,COG,4.2,1.0014641288433381,5,4.6,2.6,1,5,3.8,4.2,2,0.08793969849246232,0.4,1.2,3.4,0.44,5,4.2,0,1.9047619047619047e-06,0.1,0.1,2.7,2
31,Complex crisis in Colombia,"Socio-political,Conflict,Violence,Floods,Displacement",COL001,Colombia,COL,5,1,5,5,5,1,5,5,5,4.7,0.3828462998102467,1.9,3.3,5,0.34308088818398097,5,5,4.1,3.6825931800158605e-05,1.8,3,4.2,3.8
32,Venezuela displacement in Colombia,Displacement,COL002,Colombia,COL,2.6,0.031101397025687247,0.1,1.35,5,0.5883301707779887,2.9,3.95,2.9,4.5,0.4830188679245283,2.4,3.45,5,0.25707799145299143,5,5,0.7,2.003205128205128e-07,0,0.4,3.5,3.5
33,Nicaraguan refugees in Costa Rica,Displacement,CRI002,Costa Rica,CRI,0,0.01964355660007834,0,0,1.3,0.4702609363008442,2.3,1.7999999999999998,1,1.5,0.09587923296613628,0.4,0.95,3.4,1,5,4.2,2.9,0.000425531914893617,5,4,4.1,2.9
34,Displacement from Russia-Ukraine conflict in Czechia,"Conflict,Displacement",CZE002,Czech Republic,CZE,3.1,1.0000025911166157,5,4.05,3.5,1,5,4.25,4.2,1.8,0.03438291711907347,0.1,0.9500000000000001,3.7,1,5,4.4,0,0,0,0,2.8,2
35,Multiple crises in Djibouti,"Displacement,Drought",DJI001,Djibouti,DJI,2.3,1,5,3.65,0.2,1,5,2.6,3.2,2.3,0.6700507614213198,3.3,2.8,2.2,0.04040404040404041,1.3,1.8,2.4,6.0606060606060605e-05,3,2.7,2.3,2.6
36,Mixed migration in Djibouti,Displacement,DJI002,Djibouti,DJI,1.4,0.31492666091458155,1.5,1.45,0,0.7538071065989848,3.8,1.9,1.7,0,0.03591470258136925,0.1,0.05,2.2,1,5,3.6,2.4,0.0015,5,3.7,3.7,2.3
37,Drought in Djibouti,Drought,DJI003,Djibouti,DJI,2.3,1,5,3.65,0.2,1,5,2.6,3.2,2.3,0.6429780033840947,3.2,2.75,0,0,0,0,0,0,0,0,0,1.6
38,Venezuela displacement in Dominican Republic,Displacement,DOM002,Dominican Republic,DOM,2.8,1,5,3.9,3.5,1,5,4.25,4.1,1.1,0.012353304508956145,0,0.55,3.1,1,5,4.1,x,x,x,x,4.1,2.7
39,Mixed migration flows in Algeria,Displacement,DZA002,Algeria,DZA,5,1,5,5,5,1,5,5,5,1.5,0.005553427805438529,0,0.75,3.5,1,5,4.3,4.3,0.0036551724137931034,5,4.7,4.5,3.1
40,Sahrawi refugees in Algeria,Displacement,DZA003,Algeria,DZA,3.7,0.06675788845218687,0.2,1.9500000000000002,0,0.004744882760968552,0,0,1.1,1.2,0.7802690582959642,3.9,2.55,3.2,1,5,4.1,1.6,7.471264367816091e-05,3.7,2.7,3.5,3.1
41,Multiple crises in Algeria,Displacement,DZA004,Algeria,DZA,5,1,5,5,5,1,5,5,5,1.9,0.009255713009064215,0,0.95,3.8,1,5,4.4,4.3,0.0022229885057471264,5,4.7,4.6,3.3
42,Venezuela displacement in Ecuador,Displacement,ECU002,Ecuador,ECU,4,1,5,4.5,4.2,1,5,4.6,4.6,4,0.41737218251786695,2.1,3.05,3.8,0.058614330874604846,2,2.9,0,0,0,0,1.7,2.4
43,Refugees in Egypt,"Displacement,Conflict",EGY004,Egypt,EGY,3.3,0.0914880405846602,0.4,1.8499999999999999,5,1,5,5,3.9,2.3,0.0067722789188265934,0,1.15,4.1,1,5,4.6,0,0,0,0,3,2.2
44,Complex crisis in Eritrea,"Socio-political,Displacement",ERI001,Eritrea,ERI,3.5,1.000001652335411,5,4.25,1.9,1,5,3.45,3.9,2.6,0.2934115764203788,1.4,2,4,0.6118181818181818,5,4.5,0,0,0,0,2.9,2.5
45,Mixed migration flows in Spain,Displacement,ESP002,Spain,ESP,3.3,0.2001067769761945,0.9,2.1,5,1,5,5,4,0.6,0.001440380761523046,0,0.3,2.6,1,5,3.8,2.8,0.0012608695652173913,5,3.9,3.9,2.5
46,Displacement from Russia-Ukraine conflict in Estonia,"Conflict,Displacement",EST002,Estonia,EST,2.7,1,5,3.85,0.5,1,5,2.75,3.4,0.1,0.025992779783393503,0.1,0.1,2.2,1,5,3.6,0,0,0,0,2.2,1.3
47,Complex crisis in Ethiopia,"Displacement,Floods,Conflict",ETH001,Ethiopia,ETH,5,1.001208341909811,5,5,5,1,5,5,5,5,1,5,5,5,0.04184172748385933,1.4,3.2,5,4.64265045208908e-05,2.3,3.7,3.5,4.4
48,International Displacement,Displacement,ETH003,Ethiopia,ETH,5,0.9999997341771849,5,5,5,0.7262286826657848,3.6,4.3,4.7,2.5,0.011073853286968041,0,1.25,4.3,1,5,4.7,x,x,x,x,4.7,3.5
49,Northern Ethiopia Conflict,"Conflict,Displacement",ETH004,Ethiopia,ETH,4.1,0.2689488913992408,1.3,2.6999999999999997,5,0.23035874001307788,1.1,3.05,2.9,5,1,5,5,4.9,0.09302097947730759,3.1,4,5,9.915494795915038e-05,5,5,4.6,4.8
50,Drought in Ethiopia,Drought,ETH005,Ethiopia,ETH,5,0.8866750377224726,4.4,4.7,5,0.7111966268066652,3.5,4.25,4.5,5,1,5,5,3.9,0.0057490700033818055,0.2,2.1,2,2.536354413256679e-07,0,1,1.6,3.8
51,Mixed migration flows in Greece,Displacement,GRC002,Greece,GRC,1.7,0.08373933281613655,0.3,1,0,0.07026348808030113,0.3,0.15,0.6,1.3,0.26373626373626374,1.3,1.3,3.3,1,5,4.2,1.4,4.6875e-05,2.3,1.9,3.3,2.4
52,Complex crisis in Guatemala,"Violence,Socio-political,Other seasonal event",GTM001,Guatemala,GTM,3.4,1,5,4.2,4.2,1,5,4.6,4.4,4.2,0.56,2.8,3.5,3.4,0.024553571428571428,0.8,2.1,3,1.3189935064935065e-05,0.7,1.9,2,2.8
53,Complex crisis in Honduras,"Violence,Socio-political,Other seasonal event",HND001,Honduras,HND,3.4,1,5,4.2,3.3,1,5,4.15,4.2,3.7,0.5677783478707029,2.8,3.25,1.4,0.0018073377914332189,0.1,0.8,3.4,4.4641243448400506e-05,2.2,2.8,1.9,2.6
54,Complex crisis in Haiti,"Earthquake,Violence,Socio-political,Other seasonal event",HTI001,Haiti,HTI,2.4,1,5,3.7,3.6,1,5,4.3,4,4.1,0.74,3.7,3.9,3.9,0.06675906675906676,2.2,3.1,3.9,6.133056133056134e-05,3.1,3.5,3.3,3.6
55,Displacement from Russia-Ukraine conflict in Hungary,"Conflict,Displacement",HUN002,Hungary,HUN,3.3,1.0192088538242385,5,4.15,3.3,1,5,4.15,4.2,0.5,0.006286067600989283,0,0.25,2.6,1,5,3.8,0,0,0,0,2.3,1.4
56,Papua Conflict,"Socio-political,Violence,Conflict",IDN002,Indonesia,IDN,4.4,0.21780814353925157,1,2.7,2.5,0.020099528906079012,0.1,1.3,2.1,3.7,1,5,4.35,2.9,0.01785076758300607,0.6,1.8,2.4,8.925383791503035e-06,0.4,1.4,1.6,3.3
57,2024 Monsoon Floods in India,Floods,IND006,India,IND,2.8,0.01582139049303946,0,1.4,4.1,0.011918513290730948,0,2.05,1.7,2.5,0.06013994101659631,0.3,1.4,2.7,0.07596153846153846,2.5,2.6,2.9,0.00010096153846153846,5,4,3.4,2.5
58,Afghan Refugees in Iran,Displacement,IRN004,Iran,IRN,4,0.14764930662557782,0.7,2.35,4.6,0.27031176835709075,1.3,2.9499999999999997,2.7,3.6,0.18080006445635097,0.9,2.25,5,1,5,5,x,x,x,x,5,4
59,Multiple crises in Iraq,"Violence,Displacement,Socio-political,Conflict",IRQ001,Iraq,IRQ,4.3,0.8829423580142263,4.4,4.35,5,0.9887484891770135,4.9,4.95,4.7,4,0.16589247216233635,0.8,2.4,5,0.837620578778135,5,5,3.8,6.243301178992497e-05,3.1,3.5,4.4,3.6
60,Conflict  in Iraq,"Conflict,Socio-political,Violence",IRQ002,Iraq,IRQ,4.3,0.8829423580142263,4.4,4.35,5,0.9821118558400176,4.9,4.95,4.7,3.8,0.13313642567854825,0.6,2.1999999999999997,5,1,5,5,3.8,7.831932773109243e-05,3.9,3.9,4.5,3.6
61,Syrian and Palestinian refugees in iraq,Displacement,IRQ003,Iraq,IRQ,2.6,0.08292485165665425,0.3,1.45,2.7,0.14224810460388967,0.7,1.7000000000000002,1.6,2.8,0.23374015139811524,1.1,1.95,3.5,0.19960343688037013,5,4.3,x,x,x,x,4.3,3.4
62,Mixed migration flows in Italy,Displacement,ITA002,Italy,ITA,2.7,0.13883205902940987,0.6,1.6500000000000001,5,1,5,5,3.9,1.4,0.0035422711018149922,0,0.7,3.3,1,5,4.2,4.2,0.0041285714285714285,5,4.6,4.4,3
63,Syrian refugees in Jordan,Displacement,JOR002,Jordan,JOR,2.7,0.45569520463094354,2.2,2.45,3.2,0.7938408896492729,4,3.6,3.1,2.9,0.19827586206896552,1,1.95,4.5,0.717391304347826,5,4.8,0,0,0,0,3.2,2.6
64,Multiple crisis in Kenya ,"Drought,Displacement",KEN001,Kenya,KEN,4.6,0.9551779878413045,4.8,4.699999999999999,4.9,0.5238376537632914,2.6,3.75,4.3,5,0.9814593698175788,4.9,4.95,4.4,0.03832246291102024,1.3,2.9,4,2.2439255178939543e-05,1.1,2.6,2.8,4.1
65,Refugee situation in Kenya,Displacement,KEN002,Kenya,KEN,2.6,0.06719612046245212,0.2,1.4000000000000001,0.4,0.023681284314406838,0.1,0.25,0.9,2.3,0.5898752751283932,2.9,2.5999999999999996,4.2,1,5,4.6,0,0,0,0,3,2.8
66,Drought in Kenya,Drought,KEN003,Kenya,KEN,4.6,0.9551779878413045,4.8,4.699999999999999,4.9,0.5001389950656752,2.5,3.7,4.3,4.9,1,5,4.95,3.6,0.011463906065448481,0.4,2,3.6,1.0942819426109914e-05,0.5,2.1,2.1,3.9
67,Typhoon Yagi in Laos,"Cyclone,Floods",LAO004,Laos,LAO,3.3,0.4293587521663778,2.1,2.7,1.7,0.42154783991518685,2.1,1.9,2.3,1.3,0.06287331027978624,0.3,0.8,x,x,x,x,0.9,2e-05,1,1,1,0.9
68,Syrian refugees in Lebanon,Displacement,LBN002,Lebanon,LBN,1.7,1.021505376344086,5,3.35,2.5,1,5,3.75,3.6,3.8,1,5,4.4,4.5,0.26842105263157895,5,4.8,0,1.7543859649122808e-07,0,0,3.2,3.9
69,Complex crisis in Lebanon,"Socio-political,Violence,Tecnological Disaster,Displacement",LBN006,Lebanon,LBN,1.7,1.021505376344086,5,3.35,2.5,1,5,3.75,3.6,3.8,1,5,4.4,4.2,0.146140350877193,4.9,4.6,4.5,0.0002666666666666667,5,4.8,4.7,4.6
70,Complex crisis in Libya,"Conflict,Displacement,Socio-political",LBY001,Libya,LBY,5,1,5,5,2.9,1,5,3.95,4.6,3.9,1,5,4.45,4.2,0.11833040659192219,3.9,4.1,4.2,0.00011846548696474403,5,4.6,4.4,4.4
71,Mixed migration flows in Libya,Displacement,LBY002,Libya,LBY,5,1,5,5,2.9,1,5,3.95,4.6,2.4,0.11225178981493988,0.5,1.45,4.2,1,5,4.6,4.2,0.0010433212996389892,5,4.6,4.6,3.4
72,Refugees from Sudan in Libya,Conflict,LBY004,Libya,LBY,4.9,0.4936983529786194,2.4,3.6500000000000004,1.6,0.39916250168850465,2,1.8,2.8,1.3,0.06598984771573604,0.3,0.8,3.3,1,5,4.2,1.4,5.128205128205128e-05,2.6,2,3.3,2.2
73,2024 Inter-monsoon Floods in Sri Lanka,Floods,LKA005,Sri Lanka,LKA,1.4,0.10921435499515034,0.5,0.95,2.8,0.31787448382266187,1.6,2.2,1.6,1.2,0.02212705210563883,0.1,0.65,0,0,0,0,0.4,1.2903225806451613e-05,0.6,0.5,0.3,0.5
