,Crisis,Crisis ID,Country,Indicator,Figure,Source and Date,Reliability,Reliability Score,Link,Justification,Helper,Date of entry,Type of entry
0,Complex crisis in Mali,MLI001,Mali,Buildings damaged,x,,x,x,,No data available,MLI001Buildings damaged,2019-01-24,Humanitarian development
1,Complex crisis in Mali,MLI001,Mali,Buildings destroyed,1,Complex crisis in Mali,Low,3,MLI001,Complex crisis in Mali,MLI001Buildings destroyed,2019-01-24,Humanitarian development
2,Complex crisis in Mali,MLI001,Mali,Economic Losses,x,,x,x,,No data available,MLI001Economic Losses,2019-01-24,Humanitarian development
3,Complex crisis in Mali,MLI001,Mali,People facing limited access constraints,x,,x,x,,No data available,MLI001People facing limited access constraints,2019-01-24,Humanitarian development
4,Complex crisis in Mali,MLI001,Mali,People facing restricted access constraints,x,,x,x,,No data available,MLI001People facing restricted access constraints,2019-01-24,Humanitarian development
5,Drought in Senegal,SEN002,Senegal,Buildings damaged,0,,Medium,2,,,SEN002Buildings damaged,2019-01-24,Humanitarian development
6,Drought in Senegal,SEN002,Senegal,Buildings destroyed,0,,Medium,2,,,SEN002Buildings destroyed,2019-01-24,Humanitarian development
7,Drought in Senegal,SEN002,Senegal,Economic Losses,x,,Low,3,,"No recent number reflecting agricultural losses, or the impact of the drought on smallholder agricutlure and transhumance patterns disrupting rural economies",SEN002Economic Losses,2019-01-24,Humanitarian development
8,Drought in Senegal,SEN002,Senegal,Illness cases reported,0,,Medium,2,,,SEN002Illness cases reported,2019-01-24,Humanitarian development
9,Drought in Senegal,SEN002,Senegal,Injuries reported,0,,Medium,2,,,SEN002Injuries reported,2019-01-24,Humanitarian development
10,Complex crisis in DPRK,PRK001,DPRK,Buildings damaged,x,,x,x,,,PRK001Buildings damaged,2019-01-28,Humanitarian development
11,Complex crisis in DPRK,PRK001,DPRK,Buildings destroyed,x,,x,x,,,PRK001Buildings destroyed,2019-01-28,Humanitarian development
12,Complex crisis in DPRK,PRK001,DPRK,Economic Losses,x,,x,x,,,PRK001Economic Losses,2019-01-28,Humanitarian development
13,Complex crisis in DPRK,PRK001,DPRK,Illness cases reported,x,,x,x,,,PRK001Illness cases reported,2019-01-28,Humanitarian development
14,Complex crisis in DPRK,PRK001,DPRK,People facing limited access constraints,x,,x,x,,,PRK001People facing limited access constraints,2019-01-28,Humanitarian development
15,Complex crisis in DPRK,PRK001,DPRK,People facing restricted access constraints,x,,x,x,,,PRK001People facing restricted access constraints,2019-01-28,Humanitarian development
16,Conflict in Yemen,YEM001,Yemen,Buildings damaged,x,,x,x,,,YEM001Buildings damaged,2019-01-28,Humanitarian development
17,Conflict in Yemen,YEM001,Yemen,Buildings destroyed,x,,x,x,,,YEM001Buildings destroyed,2019-01-28,Humanitarian development
18,Conflict in Yemen,YEM001,Yemen,Economic Losses,x,,x,x,,,YEM001Economic Losses,2019-01-28,Humanitarian development
19,Conflict in Yemen,YEM001,Yemen,People facing limited access constraints,x,,x,x,,,YEM001People facing limited access constraints,2019-01-28,Humanitarian development
20,Conflict in Yemen,YEM001,Yemen,People facing restricted access constraints,x,,x,x,,,YEM001People facing restricted access constraints,2019-01-28,Humanitarian development
21,Syrian conflict,SYR001,Syria,Illness cases reported,x,x,x,x,,"There are too many illnesses in Syria, which are reported very sporadically to be able to adequately captured here.",SYR001Illness cases reported,2019-01-30,Humanitarian development
22,Syrian conflict,SYR001,Syria,People facing limited access constraints,x,,x,x,,"This number is not known though it should not be assumed that most of the populaytion outside of hard to reach areas are not also affected by strong access constraints - espeacially in areas with ongoing conflict, and when considering that the Israeli, Turkish, Lebanese and Jordanian borders are closed.",SYR001People facing limited access constraints,2019-01-30,Humanitarian development
23,Syrian conflict,SYR001,Syria,People facing restricted access constraints,1160000,OCHA,Medium,2,https://reliefweb.int/sites/reliefweb.int/files/resources/acc-11_syr_overview_of_hard_to_reach_areas_20181029.pdf,"This number represents the number of people that are hard to reach as defined by OCHA. This definition is ""An area that is not regularly accessible to humanitarian actors for the purposes of sustained humanitarian programming as a result of denial of access,including the need to negotiate access on an ad hoc basis,or due to restrictions such as active conflict,multiple security checkpoints,or failure of the a uthorities to provide timely approval"" . It is a groslly conservative estimate at best",SYR001People facing restricted access constraints,2019-01-30,Humanitarian development
24,International Displacement in Tanzania,TZA002,Tanzania,Buildings damaged,x,,x,x,,,TZA002Buildings damaged,2019-01-30,Humanitarian development
25,International Displacement in Tanzania,TZA002,Tanzania,Economic Losses,x,,x,x,,,TZA002Economic Losses,2019-01-30,Humanitarian development
26,International Displacement in Tanzania,TZA002,Tanzania,Illness cases reported,x,,x,x,,,TZA002Illness cases reported,2019-01-30,Humanitarian development
27,International Displacement in Tanzania,TZA002,Tanzania,People facing limited access constraints,x,,x,x,,,TZA002People facing limited access constraints,2019-01-30,Humanitarian development
28,International Displacement in Tanzania,TZA002,Tanzania,People facing restricted access constraints,x,,x,x,,,TZA002People facing restricted access constraints,2019-01-30,Humanitarian development
29,Mixed migration flows in Greece,GRC002,Greece,Buildings damaged,x,,x,x,,,GRC002Buildings damaged,2019-02-05,Humanitarian development
30,Mixed migration flows in Greece,GRC002,Greece,Buildings destroyed,x,,x,x,,,GRC002Buildings destroyed,2019-02-05,Humanitarian development
31,Mixed migration flows in Greece,GRC002,Greece,Economic Losses,x,,x,x,,,GRC002Economic Losses,2019-02-05,Humanitarian development
32,Mixed migration flows in Greece,GRC002,Greece,Illness cases reported,x,,x,x,,,GRC002Illness cases reported,2019-02-05,Humanitarian development
33,Mixed migration flows in Greece,GRC002,Greece,People facing limited access constraints,x,,x,x,,,GRC002People facing limited access constraints,2019-02-05,Humanitarian development
34,Mixed migration flows in Greece,GRC002,Greece,People facing restricted access constraints,x,,x,x,,,GRC002People facing restricted access constraints,2019-02-05,Humanitarian development
35,Complex crisis in Zimbabwe,ZWE001,Zimbabwe,Economic Losses,x,,x,x,,,ZWE001Economic Losses,2019-02-06,Humanitarian development
36,Complex crisis in Zimbabwe,ZWE001,Zimbabwe,People facing limited access constraints,x,,x,x,,,ZWE001People facing limited access constraints,2019-02-06,Humanitarian development
37,Complex crisis in Zimbabwe,ZWE001,Zimbabwe,People facing restricted access constraints,x,,x,x,,,ZWE001People facing restricted access constraints,2019-02-06,Humanitarian development
